coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
90,20,0,,
85.1382675225,28.7386244522,9.999999999968301,90,20
83.0795307537,32.3095393488,14.121872181631492,85.1382675225,28.7386244522
79.9186928914,38.0368777032,20.663531039866953,83.0795307537,32.3095393488
76.8179477204,44.3290793485,27.678259984066855,79.9186928914,38.0368777032
73.9182451871,49.366759664,33.49087538015171,76.8179477204,44.3290793485
67.9297093697,55.7582306711,42.24949758178151,73.9182451871,49.366759664
68.2737263154,55.806923674,42.05453731700306,73.9182451871,49.366759664
64.6460438123,61.7840729863,49.0464179112943,68.2737263154,55.806923674
63.5973016712,62.7931859984,50.46148734172736,68.2737263154,55.806923674
69.6095094592,56.4870162522,41.81333039382931,73.9182451871,49.366759664
65.7746505671,62.6712352912,49.0900540964752,69.6095094592,56.4870162522
64.2285896074,63.8665169854,50.9463107136808,69.6095094592,56.4870162522
62.4297048745,67.4237258751,54.93250204968331,64.2285896074,63.8665169854
57.6399942344,75.891103309,64.66069862582249,62.4297048745,67.4237258751
53.1267392223,84.5990865849,74.468779148412,57.6399942344,75.891103309
62.1643791828,66.4860085888,54.28138206783658,64.2285896074,63.8665169854
60.4552776288,70.4415805451,58.527164498179026,64.2285896074,63.8665169854
57.9646602255,77.0733480572,65.61119692217073,60.4552776288,70.4415805451
56.497464251,79.7846830655,68.69405299322274,57.9646602255,77.0733480572
57.0874713157,80.4268671699,69.07754237851526,57.9646602255,77.0733480572
56.9808679045,77.9227091704,66.77572852112226,60.4552776288,70.4415805451
56.0585309725,78.0853085075,67.34521180599388,60.4552776288,70.4415805451
52.5206351384,85.3425154305,75.41885777644498,56.0585309725,78.0853085075
49.0555688518,93.7707667974,84.53160190070216,52.5206351384,85.3425154305
48.6507032413,95.1876369014,86.00518157420967,49.0555688518,93.7707667974
46.9105329868,97.9555010297,89.23406715385606,49.0555688518,93.7707667974
51.3003003809,85.9697447284,76.55417987436495,56.0585309725,78.0853085075
52.9986824032,83.2111489728,73.31487793926752,56.0585309725,78.0853085075
51.5255094019,86.0810283613,76.53650227795572,56.0585309725,78.0853085075
52.2788700907,85.0088547336,75.23326154761904,56.0585309725,78.0853085075
49.8264359142,88.2844743202,79.32521915568181,52.2788700907,85.0088547336
46.5857591772,97.1020360641,88.71943976312028,49.8264359142,88.2844743202
43.0853100764,102.0111955655,94.74878391629957,46.5857591772,97.1020360641
57.9696719457,74.4588969077,63.251258736133295,60.4552776288,70.4415805451
53.2668016006,81.437410819,71.66652141135792,57.9696719457,74.4588969077
55.2261765885,78.9513631691,68.5151521832635,60.4552776288,70.4415805451
52.4783854465,83.2245339567,73.5955404302434,55.2261765885,78.9513631691
62.8892782352,65.3084353019,52.91427498753397,64.2285896074,63.8665169854
60.8832217995,68.5308784974,56.710115154274085,62.8892782352,65.3084353019
