coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
30,40,0,,
53.7040977411,41.0422810284,23.727001484843903,30,40
35.4010022004,31.702347058,9.900599432085254,30,40
39.0437599744,20.1752424725,21.790149276650844,30,40
51.1695705547,-6.2340591868,50.8501991107654,39.0437599744,20.1752424725
11.0738451156,30.9011058269,20.999743186086135,30,40
4.0644278938,48.0630118486,27.160008478396385,30,40
-14.4632741984,54.0382709436,46.627403426608964,4.0644278938,48.0630118486
11.2679092421,57.5226470424,25.65023164680452,30,40
34.4704690639,35.5916809706,6.278405077426675,30,40
27.7352453587,52.2225568082,12.430607729108258,30,40
24.2671171366,69.6882050923,30.23725770457562,27.7352453587,52.2225568082
19.0653108,97.8168870202,58.84287841387784,24.2671171366,69.6882050923
19.1553482241,97.7692719454,58.77979608193571,24.2671171366,69.6882050923
16.4160520397,112.322932562,73.58900878650047,19.1553482241,97.7692719454
21.7238475047,83.9065300397,44.68125246815824,24.2671171366,69.6882050923
19.7003436082,92.5323742843,53.53342662850852,24.2671171366,69.6882050923
18.0482612461,100.9969020097,62.157671856076384,19.7003436082,92.5323742843
17.2183746684,104.4309889716,65.68814592987304,19.7003436082,92.5323742843
16.8035066842,105.3888403327,66.7122119829299,19.7003436082,92.5323742843
20.0172689675,88.9614517884,49.97349968903488,24.2671171366,69.6882050923
14.8779345936,114.4371319263,75.96240186468175,20.0172689675,88.9614517884
22.7929349538,79.5796790251,40.23058197601696,27.7352453587,52.2225568082
17.9541991705,106.9409864489,68.01645082909191,22.7929349538,79.5796790251
18.2447777278,103.4150259054,64.49597904791015,22.7929349538,79.5796790251
11.5899414866,43.4363043383,18.728012226935114,30,40
-8.9899237337,47.2047509936,39.65005903597259,11.5899414866,43.4363043383
-4.5566665897,46.374045391,35.13969327618645,11.5899414866,43.4363043383
14.6564976427,23.0099217179,22.892920840739322,30,40
0.7980973569,7.6644696178,43.56991672113561,14.6564976427,23.0099217179
-14.9922939729,-9.662231329,67.01242136650282,0.7980973569,7.6644696178
-14.4038328523,-9.4674005396,66.47405733316035,0.7980973569,7.6644696178
-8.7026365832,-3.2444728927,58.036048619399295,0.7980973569,7.6644696178
11.3001724246,53.8546585672,23.273055565683215,30,40
-5.5556740466,66.5391900405,44.36847921532353,11.3001724246,53.8546585672
-12.9413311378,72.1377994933,53.63629225151358,-5.5556740466,66.5391900405
9.8240588807,57.072108412,26.42963271936524,30,40
-12.536938191,75.6690490189,55.51331181911364,9.8240588807,57.072108412
-12.0260418124,74.8190458043,54.57889002936945,9.8240588807,57.072108412
-5.5211101144,69.2997510925,46.05078092761656,9.8240588807,57.072108412
-9.2875606514,73.18556338,51.427581278107226,9.8240588807,57.072108412
4.6090090833,27.5391754934,28.283821649774012,30,40
-14.9119318887,17.7092606734,50.14004185823558,4.6090090833,27.5391754934
57.0854398218,40.703202267,27.094566683537554,30,40
71.7586316064,41.0499819747,41.771855715008094,57.0854398218,40.703202267
95.8034812608,41.944649216,65.83334412232311,71.7586316064,41.0499819747
98.691920549,41.8764818923,68.71782304556375,71.7586316064,41.0499819747
98.9027764857,41.8255903354,68.9270793295839,71.7586316064,41.0499819747
48.9270205835,57.8409420907,26.010215740203762,30,40
64.3321680238,73.0511284234,47.658964801820126,48.9270205835,57.8409420907
67.2052139399,75.4260345576,51.374123748303944,48.9270205835,57.8409420907
77.2987296035,85.2742165848,65.47610047825934,67.2052139399,75.4260345576
