coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
60,90,0,,
73.9687618281,84.5343167867,14.999999999944434,60,90
48.2586040832,80.6651394266,14.999999999995515,60,90
38.78741147,73.0385877142,27.16008965995467,48.2586040832,80.6651394266
27.7055101308,65.9637036988,40.30780889650384,38.78741147,73.0385877142
16.9855523407,59.6933300555,52.7269505998631,27.7055101308,65.9637036988
17.9105388586,59.550306665,52.01563208172397,27.7055101308,65.9637036988
8.6137332849,52.908676567,63.44112306609041,17.9105388586,59.550306665
-2.5726611569,44.5300562338,77.41741367896213,8.6137332849,52.908676567
4.3469673478,50.1461846153,68.52409988535726,8.6137332849,52.908676567
3.3358153674,49.5938068991,69.6762932149774,4.3469673478,50.1461846153
0.3064857872,47.2850726271,73.4728368908016,8.6137332849,52.908676567
-3.5696078166,44.1784220311,78.42949004375352,8.6137332849,52.908676567
2.9204041034,49.150123272,70.26319899943174,8.6137332849,52.908676567
8.6490973513,53.848127095,62.89171366663609,17.9105388586,59.550306665
-0.4169887797,47.7931643801,73.79384608252334,8.6490973513,53.848127095
2.2732712757,49.4556969076,70.63410354944901,8.6490973513,53.848127095
22.7861105888,62.8560664325,46.12656316462055,27.7055101308,65.9637036988
31.1327530248,67.6102463629,36.54415518289862,38.78741147,73.0385877142
21.3407053352,60.735996501,48.5082476733148,31.1327530248,67.6102463629
9.3050851784,52.8044504468,62.92232327214062,21.3407053352,60.735996501
29.1987421884,65.8784606183,39.12712766529839,38.78741147,73.0385877142
18.5822588529,57.9808426212,52.358986508298,29.1987421884,65.8784606183
11.4012654606,52.6096030069,61.32653249895129,18.5822588529,57.9808426212
11.3730566702,52.2909051119,61.54310241407715,18.5822588529,57.9808426212
0.260266648,42.2708808698,76.50622334153675,11.3730566702,52.2909051119
2.3352767549,45.0583938515,73.118536960098,11.3730566702,52.2909051119
5.7549607982,47.9983808663,68.61337579111479,11.3730566702,52.2909051119
-5.6671403776,40.5165764205,82.26774480016843,5.7549607982,47.9983808663
-4.7859091564,41.3274909935,81.08777802508234,5.7549607982,47.9983808663
-4.7577978495,41.072848276,81.20230330874307,5.7549607982,47.9983808663
3.0944364298,45.0701171323,72.52833487093014,11.3730566702,52.2909051119
-3.4022471898,38.9846433035,81.43001391334616,3.0944364298,45.0701171323
-2.1951218607,40.5530149052,79.48416979124481,3.0944364298,45.0701171323
0.1819582286,43.798191969,75.59183405992933,11.3730566702,52.2909051119
9.8738824662,51.6435847895,63.129160885617864,18.5822588529,57.9808426212
3.2991235232,47.9405831579,70.6749992248742,9.8738824662,51.6435847895
-3.7428895554,43.1609118123,79.18588674446481,3.2991235232,47.9405831579
-1.4172451025,44.54144379,76.4682001519757,9.8738824662,51.6435847895
-5.1470003542,41.7516907284,81.12586012048888,-1.4172451025,44.54144379
-1.4660013885,44.0579186556,76.77230189247854,9.8738824662,51.6435847895
19.0918006099,56.9176486879,52.63440046639377,29.1987421884,65.8784606183
21.0122804145,58.1538932641,50.38266395572446,29.1987421884,65.8784606183
10.6473157426,48.3706639507,64.6355257191846,21.0122804145,58.1538932641
12.0665409887,48.8842785216,63.264900226989084,21.0122804145,58.1538932641
17.3294607819,54.6861804191,55.441141278164686,21.0122804145,58.1538932641
10.828100208,48.48649946,64.42460219237888,21.0122804145,58.1538932641
20.5199687208,58.2890175641,50.65625403180432,29.1987421884,65.8784606183
13.9832572158,52.1071028516,59.65317944064391,20.5199687208,58.2890175641
16.9057204176,55.330304847,55.32709675443087,20.5199687208,58.2890175641
8.5833391221,47.280454613,66.90561648786476,16.9057204176,55.330304847
16.8830548641,55.3781586169,55.314605908976205,20.5199687208,58.2890175641
5.8576858034,45.3883848272,70.19258773763892,16.8830548641,55.3781586169
-3.2469269541,35.9566523248,83.30180401706845,5.8576858034,45.3883848272
-5.7387776605,34.0035113477,86.46788671014728,-3.2469269541,35.9566523248
-1.8650200813,38.6791721961,80.42262783095683,5.8576858034,45.3883848272
8.8582513897,48.6040244151,65.81633743224126,16.8830548641,55.3781586169
4.9211366321,45.2701241914,70.97538417714468,8.8582513897,48.6040244151
-4.2960304903,36.8081116985,83.48785096799959,4.9211366321,45.2701241914
-5.744322049,36.7494058887,84.62656175536914,4.9211366321,45.2701241914
-5.6592508884,35.6304313573,85.2886045701852,4.9211366321,45.2701241914
5.1889674179,44.4912660806,71.32800015629356,8.8582513897,48.6040244151
-1.1906431615,39.8268227312,79.15873418473645,8.8582513897,48.6040244151
-6.6972885493,35.510935963,86.15516341848867,-1.1906431615,39.8268227312
12.0709899862,51.7364277861,61.34838545900223,20.5199687208,58.2890175641
34.0320861832,69.4603379955,33.11130715158243,38.78741147,73.0385877142
47.9054670101,80.2954212667,15.511270290700422,48.2586040832,80.6651394266
44.9248977452,77.5496585631,19.562873980159345,48.2586040832,80.6651394266
33.0454704272,70.4224496569,33.41631760245994,44.9248977452,77.5496585631
38.9093365901,72.5657486351,27.36967800109852,48.2586040832,80.6651394266
40.6459332714,73.8537013627,25.215108682098588,48.2586040832,80.6651394266
40.390437539,74.0882762155,25.25490977360098,48.2586040832,80.6651394266
48.2857221927,94.9402090241,12.713377590097778,60,90
45.1674655686,97.2245455783,16.57882942223821,48.2857221927,94.9402090241
44.3365780317,97.4702030654,17.403431902509723,48.2857221927,94.9402090241
31.0916876792,102.7933967329,31.67800759748083,44.3365780317,97.4702030654
33.7950788362,101.856899655,28.82123870845698,44.3365780317,97.4702030654
28.0612553851,104.1137059779,34.98321129420139,33.7950788362,101.856899655
72.8050393811,86.7882380515,13.201683542842346,60,90
84.1426051937,85.7213011406,24.58934146389342,72.8050393811,86.7882380515
86.2670609308,82.5013484009,27.329791947048783,72.8050393811,86.7882380515
97.9013471103,78.5368839531,39.62099177718639,86.2670609308,82.5013484009
79.8958850041,85.2566656569,20.456048135907608,72.8050393811,86.7882380515
89.9657421987,82.8270573618,30.814861793236144,79.8958850041,85.2566656569
88.5456012013,83.2840036706,29.327856610187087,79.8958850041,85.2566656569
83.2314932056,84.6710035921,23.840932628680193,72.8050393811,86.7882380515
91.7310110102,83.2468102567,32.458944555297045,83.2314932056,84.6710035921
99.9840043198,81.4697208098,40.90109744840349,91.7310110102,83.2468102567
96.3531602137,81.9063092795,37.25069324226247,83.2314932056,84.6710035921
103.6447318724,80.4337777126,44.689467769661064,96.3531602137,81.9063092795
96.9527500224,82.8625703711,37.68085023491603,83.2314932056,84.6710035921
106.4678181891,81.4981939806,47.29324042424467,96.9527500224,82.8625703711
93.1740110341,82.5606794065,34.00494408766472,83.2314932056,84.6710035921
99.7910713105,81.157080521,40.7692309335109,93.1740110341,82.5606794065
85.8390231556,82.7230832309,26.85489623251274,72.8050393811,86.7882380515
98.1665374696,78.8521850614,39.77586608003244,85.8390231556,82.7230832309
103.3069282418,77.2628950509,45.15633632234342,98.1665374696,78.8521850614
100.0210752038,78.6147320626,41.620029134722785,85.8390231556,82.7230832309
96.4198115801,79.5908098989,37.889578824703214,85.8390231556,82.7230832309
86.569428261,82.8597550701,27.515710920637325,72.8050393811,86.7882380515
100.0972992743,78.9120210401,41.607832766693804,86.569428261,82.8597550701
93.2404448131,81.0542067944,34.42675038039122,86.569428261,82.8597550701
88.8560392029,82.071327246,29.934431250363748,86.569428261,82.8597550701
95.8079838306,80.7757695527,36.98639751925941,86.569428261,82.8597550701
80.2200767639,85.587803545,20.713262763799634,72.8050393811,86.7882380515
91.2889876863,83.941011331,31.904005080738095,80.2200767639,85.587803545
104.6982473612,82.8314625283,45.359091240791926,91.2889876863,83.941011331
100.9488171967,83.2632907568,41.587579387092575,91.2889876863,83.941011331
95.6170509465,83.4771387395,36.25685579784728,91.2889876863,83.941011331
107.4964268783,81.9326224814,48.236217341792944,95.6170509465,83.4771387395
105.2083781712,81.9778996313,45.96114700278695,91.2889876863,83.941011331
98.57995026,82.9368702151,39.26379003899163,91.2889876863,83.941011331
106.0191915421,81.775697952,46.79250694166089,91.2889876863,83.941011331
54.460282829,76.1372015737,14.928685358828423,60,90
