start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(200, 200)",10,True,1423.7986054142843,True,1435.5709916575747,True,1910.6998948225146
"(0, 0)","(200, 200)",15,True,1391.3655245345137,True,1332.6238870288082,True,604.2141028894039
"(0, 0)","(200, 200)",20,True,1363.7880000512507,True,845.0924909881003,True,1473.9917806669223
"(0, 0)","(200, 200)",25,True,1347.1309495450478,True,1347.1309495450478,True,1057.1427830693117
"(0, 0)","(200, 200)",30,True,764.8492797576307,True,764.8492797576307,True,925.7643483699668
"(0, 0)","(200, 200)",35,True,704.999735106506,True,1103.825366213107,True,682.809437773474
"(0, 0)","(200, 200)",40,True,746.0252150875278,True,746.0252150875278,True,701.3813618379387
"(0, 0)","(200, 200)",45,True,721.9411047502911,True,721.9411047502911,True,559.0585635844601
"(0, 0)","(200, 200)",50,True,802.2104484926051,True,802.2104484926051,True,478.3213688986502
"(0, 0)","(200, 200)",55,True,1113.3875168691775,True,1113.3875168691775,True,532.9662964293357
"(0, 0)","(200, 200)",60,True,791.2038001290412,True,791.2038001290412,True,538.3555142194557
"(0, 0)","(200, 200)",65,True,779.6095458475002,True,779.6095458475002,True,1040.918747682705
"(0, 0)","(200, 200)",70,True,897.985092607064,True,897.985092607064,True,596.8258095450275
"(0, 0)","(200, 200)",75,True,517.5829985342519,True,517.5829985342519,True,495.60176627129636
"(0, 0)","(200, 200)",80,True,606.9190368696712,True,606.9190368696712,True,593.8986400521044
"(0, 0)","(200, 200)",85,True,480.7167461854517,True,480.7167461854517,True,404.00113050063004
"(0, 0)","(200, 200)",90,True,644.7994746620348,True,644.7994746620348,True,589.106257928443
"(0, 0)","(200, 200)",95,True,672.4495898118419,True,672.4495898118419,True,480.893917916674
"(0, 0)","(200, 200)",100,True,563.865012390784,True,563.865012390784,False,302.2142110153894
