start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",20,True,533.9937842928429,True,287.2341207927008
"(0, 0)","(99, 99)",25,True,335.80130806242056,True,283.9078771140325
"(0, 0)","(99, 99)",30,True,529.4313611973142,True,244.35778505121738
"(0, 0)","(99, 99)",35,True,391.36812110160423,True,201.61518514017808
"(0, 0)","(99, 99)",40,True,489.19592890417084,True,286.6682006339441
"(0, 0)","(99, 99)",45,True,509.2299513650306,True,197.43195513909262
"(0, 0)","(99, 99)",50,True,458.68722989203286,True,193.24894119474158
"(0, 0)","(99, 99)",55,True,240.700811975358,True,178.39126605952015
"(0, 0)","(99, 99)",60,True,313.42484457693917,True,256.2152207057379
"(0, 0)","(99, 99)",65,True,284.92178787394425,True,238.3937024755694
"(0, 0)","(99, 99)",70,True,380.4556843587885,True,175.14686448822232
"(0, 0)","(99, 99)",75,True,270.69209013695513,True,228.1875331381297
