start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(200, 200)",10,True,1084.354224458366,True,856.1134655605794,True,722.9596314892489
"(0, 0)","(200, 200)",15,True,781.2383454046054,True,719.3121544766498,True,681.8772901575321
"(0, 0)","(200, 200)",20,True,681.7594094244365,True,681.7594094244365,True,627.6997728661147
"(0, 0)","(200, 200)",25,True,655.7270641474406,True,655.7270641474406,True,615.5184106646724
"(0, 0)","(200, 200)",30,True,927.8976507761755,True,927.8976507761755,True,576.253593850998
"(0, 0)","(200, 200)",35,True,640.5608536699194,True,640.5608536699194,True,557.6088325290505
"(0, 0)","(200, 200)",40,True,652.4625402410435,True,652.4625402410435,True,527.5297562022163
"(0, 0)","(200, 200)",45,True,1023.7202448867353,True,633.0721224020527,True,485.91504341608277
"(0, 0)","(200, 200)",50,True,712.9323049902811,True,712.9323049902811,True,495.2972198616567
"(0, 0)","(200, 200)",55,True,1253.3166146953763,True,1253.3166146953763,True,454.15171320034744
"(0, 0)","(200, 200)",60,True,758.6040403825383,True,758.6040403825383,True,626.7667679864868
"(0, 0)","(200, 200)",65,True,1045.9879489860284,True,1258.1764949340673,True,448.18729848237444
"(0, 0)","(200, 200)",70,True,735.3616571537726,True,735.3616571537726,True,569.7339653376467
"(0, 0)","(200, 200)",75,True,780.2189081705457,True,982.5293647878453,True,397.4604468261303
