start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",10,True,951.2392313565272,True,287.1903938728016,True,254.3151263021322
"(0, 0)","(99, 99)",15,True,429.2330383370293,True,364.1919353530676,True,274.6839632981508
"(0, 0)","(99, 99)",20,True,492.18898000402885,True,455.17881423104575,True,359.1396191067625
"(0, 0)","(99, 99)",25,True,400.58480385500724,True,276.8838213886398,True,280.9999867712134
"(0, 0)","(99, 99)",30,True,667.4929539794591,True,620.4200926538167,True,222.48768415054593
"(0, 0)","(99, 99)",35,True,632.4409082872796,True,487.9991588385567,True,267.47431516461273
"(0, 0)","(99, 99)",40,True,341.0890757944854,True,385.4572137947877,True,220.40233455342806
"(0, 0)","(99, 99)",45,True,294.02648852945305,True,294.02648852945305,True,186.3001664733364
"(0, 0)","(99, 99)",50,True,315.51470946560073,True,304.4449214573963,True,202.6087349485382
"(0, 0)","(99, 99)",55,True,383.97618415715516,True,315.8689184676673,True,173.0169728884579
"(0, 0)","(99, 99)",60,True,329.1165658310444,True,426.7571738098436,True,188.11372459412104
"(0, 0)","(99, 99)",65,True,553.8808769495888,True,374.01775514683595,True,269.9058648406153
"(0, 0)","(99, 99)",70,True,193.73839570218846,True,193.73839570218846,True,185.4945933573571
"(0, 0)","(99, 99)",75,True,226.10805752102038,True,226.10805752102038,True,186.5574746000633
