start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(15, 35)","(99, 99)",20,True,383.8884889484751,True,305.77641105493325
"(15, 35)","(99, 99)",25,True,462.22011748091154,True,299.73971497899635
"(15, 35)","(99, 99)",30,True,302.283439197097,True,267.5460137199588
"(15, 35)","(99, 99)",35,True,275.9966713045596,True,244.28435742358323
"(15, 35)","(99, 99)",40,True,198.27582447766883,True,265.03523974444806
"(15, 35)","(99, 99)",45,True,343.1432972571556,True,266.8820005119533
"(15, 35)","(99, 99)",50,True,226.3588526043535,True,262.53590169400803
"(15, 35)","(99, 99)",55,True,241.33141304041771,True,269.0360811641815
"(15, 35)","(99, 99)",60,True,260.06651889206034,True,259.82875075369265
"(15, 35)","(99, 99)",65,True,254.54184736837362,True,259.8815147959435
"(15, 35)","(99, 99)",70,True,265.77257274960334,True,249.99103838785916
"(15, 35)","(99, 99)",75,True,277.00676493201775,True,231.29874982951574
