start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(5, 0)","(99, 99)",20,True,383.57732125600154,True,335.16551915028367
"(5, 0)","(99, 99)",25,True,402.5756264236305,True,305.53306897721563
"(5, 0)","(99, 99)",30,True,373.376453912426,True,299.33901819876075
"(5, 0)","(99, 99)",35,True,247.2103246943934,True,286.79855203184667
"(5, 0)","(99, 99)",40,True,310.20706716393784,True,279.2102057584055
"(5, 0)","(99, 99)",45,True,284.21825183138975,True,274.6043800032361
"(5, 0)","(99, 99)",50,True,285.6218619830597,True,268.9129535789867
"(5, 0)","(99, 99)",55,True,294.4826566552605,True,269.8843014111933
"(5, 0)","(99, 99)",60,True,265.39059090653694,True,265.03306357589184
"(5, 0)","(99, 99)",65,True,218.05837834660744,True,270.8852988187056
"(5, 0)","(99, 99)",70,True,256.93948206651964,True,251.4506892041839
"(5, 0)","(99, 99)",75,True,270.20607578308295,True,228.54796685090815
