start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(200, 200)",10,False,1616.51038123685,False,1213.038768157637,False,326.68933889228515
"(0, 0)","(200, 200)",15,True,779.4786789896574,True,695.3210117620481,True,720.6580729337276
"(0, 0)","(200, 200)",20,True,639.4443071288351,True,639.4443071288351,True,304.4122030386391
"(0, 0)","(200, 200)",25,True,682.3656804417668,True,670.1854909972731,True,283.35380767733545
"(0, 0)","(200, 200)",30,True,883.357043876001,True,883.357043876001,True,283.50202584174093
"(0, 0)","(200, 200)",35,True,918.009039750277,True,918.009039750277,True,284.3199192470381
"(0, 0)","(200, 200)",40,True,573.1012860048652,True,573.1012860048652,True,283.68913638765525
"(0, 0)","(200, 200)",45,True,666.4775522153975,True,666.4775522153975,True,283.07119203665275
"(0, 0)","(200, 200)",50,True,781.353309600148,True,781.353309600148,True,282.8628252226595
"(0, 0)","(200, 200)",55,True,767.8451409633872,True,767.8451409633872,True,282.8766770666694
"(0, 0)","(200, 200)",60,True,920.5960931511174,True,920.5960931511174,True,282.8873733175739
"(0, 0)","(200, 200)",65,True,830.9977780013985,True,830.9977780013985,True,282.8919621466036
"(0, 0)","(200, 200)",70,True,781.1639026795273,True,781.1639026795273,True,282.99875503893986
"(0, 0)","(200, 200)",75,True,817.2808359808399,True,817.2808359808399,True,282.85963327562285
