start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(15, 35)","(99, 99)",20,True,383.8884889484751,True,235.80669041285933
"(15, 35)","(99, 99)",25,True,462.22011748091154,True,240.736982088467
"(15, 35)","(99, 99)",30,True,302.283439197097,True,249.17107805226124
"(15, 35)","(99, 99)",35,True,275.9966713045596,True,275.36110367256003
"(15, 35)","(99, 99)",40,True,198.27582447766883,True,231.87678404910127
"(15, 35)","(99, 99)",45,True,343.1432972571556,True,218.15000958555498
"(15, 35)","(99, 99)",50,True,226.3588526043535,True,194.12583272103637
"(15, 35)","(99, 99)",55,True,241.33141304041771,True,164.193458145163
"(15, 35)","(99, 99)",60,True,260.06651889206034,True,183.58077416514698
"(15, 35)","(99, 99)",65,True,254.54184736837362,True,160.5838689772976
"(15, 35)","(99, 99)",70,True,265.77257274960334,True,181.8505293641615
"(15, 35)","(99, 99)",75,True,277.00676493201775,True,210.86735091814634
