start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(50, 50)",10,True,3345.684914209097,True,3919.801146876444,True,371.7097828577145
"(0, 0)","(50, 50)",15,False,8465.04503169634,True,1217.792191346591,True,349.5339896844571
"(0, 0)","(50, 50)",20,True,1506.8794499192284,True,955.0806534776386,True,304.6230244582991
"(0, 0)","(50, 50)",25,True,1863.0898353767554,True,654.1962101307398,True,261.55498999374595
"(0, 0)","(50, 50)",30,True,808.33673057237,True,314.5868109439691,True,235.58270083843428
"(0, 0)","(50, 50)",35,True,922.9881776313413,True,301.28871280069427,True,231.22105392360092
"(0, 0)","(50, 50)",40,False,3336.885802299604,False,3421.448795613401,True,215.00463343218294
"(0, 0)","(50, 50)",45,False,2610.7468041399197,False,2880.6024404636287,True,194.87596455713827
"(0, 0)","(50, 50)",50,False,2518.5771067592386,False,1681.6070766418522,True,193.37190011694673
"(0, 0)","(50, 50)",55,True,519.1242577271271,False,2656.773675284176,True,192.91719315594588
"(0, 0)","(50, 50)",60,True,429.3038731499262,True,215.15340942017457,True,193.94719856954788
"(0, 0)","(50, 50)",65,False,1701.240173051194,False,1418.9449654255282,True,305.45625943202833
"(0, 0)","(50, 50)",70,False,1690.1647623023325,False,914.836575650894,True,292.8098675358739
"(0, 0)","(50, 50)",75,False,2622.9960169446967,False,1860.3948803494015,True,284.40326281472926
"(0, 0)","(45, 65)",10,True,567.2441084247673,True,479.2699526829921,True,304.4634646624452
"(0, 0)","(45, 65)",15,True,337.6052217336678,True,337.6052217336678,True,305.2046613760885
"(0, 0)","(45, 65)",20,True,477.5075660469659,True,384.8806960190977,True,275.3424163115304
"(0, 0)","(45, 65)",25,True,406.3294727749505,True,406.3294727749505,True,240.12775904418098
"(0, 0)","(45, 65)",30,False,3336.9283612674913,False,3104.433324394626,True,219.14160590396153
"(0, 0)","(45, 65)",35,False,2871.334735315322,False,2679.845006631148,True,200.6652087278144
"(0, 0)","(45, 65)",40,True,225.47627087427958,True,225.47627087427958,True,178.109717669996
"(0, 0)","(45, 65)",45,False,2630.552993377872,False,3059.0606551562605,True,165.11760174241635
"(0, 0)","(45, 65)",50,False,2579.986219270644,False,2912.3222451148554,True,169.48047149978382
"(0, 0)","(45, 65)",55,False,1433.3837953543018,False,1112.4277528746372,True,167.30517727662016
"(0, 0)","(45, 65)",60,False,2402.4799030669806,False,1735.4799262067036,True,163.59179706132878
"(0, 0)","(45, 65)",65,False,1555.3106742228265,False,1389.1273803519434,True,166.5314523623624
"(0, 0)","(45, 65)",70,False,2125.1216273088157,False,1691.7209306346178,True,163.99765449657795
"(0, 0)","(45, 65)",75,False,2314.2457837090715,False,2046.3474410092663,True,166.13132339632395
