start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",20,True,533.9937842928429,True,329.3845923984567
"(0, 0)","(99, 99)",25,True,335.80130806242056,True,310.5872678391689
"(0, 0)","(99, 99)",30,True,529.4313611973142,True,293.6348281689867
"(0, 0)","(99, 99)",35,True,391.36812110160423,True,282.40802922955197
"(0, 0)","(99, 99)",40,True,489.19592890417084,True,256.1442049448247
"(0, 0)","(99, 99)",45,True,509.2299513650306,True,275.08517648583177
"(0, 0)","(99, 99)",50,True,458.68722989203286,True,277.2667025919042
"(0, 0)","(99, 99)",55,True,240.700811975358,True,276.2367467373002
"(0, 0)","(99, 99)",60,True,313.42484457693917,True,271.15913248364734
"(0, 0)","(99, 99)",65,True,284.92178787394425,True,270.0205003050079
"(0, 0)","(99, 99)",70,True,380.4556843587885,True,250.02549816460152
"(0, 0)","(99, 99)",75,True,270.69209013695513,True,239.45083289130076
