start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(5, 0)","(99, 99)",20,True,383.57732125600154,True,377.1517177296448
"(5, 0)","(99, 99)",25,True,402.5756264236305,True,308.18812178347434
"(5, 0)","(99, 99)",30,True,373.376453912426,True,282.7637537665772
"(5, 0)","(99, 99)",35,True,247.2103246943934,True,251.93056869797252
"(5, 0)","(99, 99)",40,True,310.20706716393784,True,283.68006770950717
"(5, 0)","(99, 99)",45,True,284.21825183138975,True,270.8464935677671
"(5, 0)","(99, 99)",50,True,285.6218619830597,True,272.60397840271963
"(5, 0)","(99, 99)",55,True,294.4826566552605,True,274.1122590178851
"(5, 0)","(99, 99)",60,True,265.39059090653694,True,264.62751985843636
"(5, 0)","(99, 99)",65,True,218.05837834660744,True,266.31370873573127
"(5, 0)","(99, 99)",70,True,256.93948206651964,True,268.9188379920102
"(5, 0)","(99, 99)",75,True,270.20607578308295,True,233.72609849268045
