start,goal,range,our_reached,our_cost,rrtreeX_reached,rrtreeX__cost
"(5, 0)","(99, 99)",20,True,383.57732125600154,True,332.8914800974964
"(5, 0)","(99, 99)",25,True,402.5756264236305,True,348.9495172773015
"(5, 0)","(99, 99)",30,True,549.4338255719035,True,301.496197884667
"(5, 0)","(99, 99)",35,True,247.2103246943934,True,279.0227445537861
"(5, 0)","(99, 99)",40,True,310.20706716393784,True,278.9051989505304
"(5, 0)","(99, 99)",45,True,284.21825183138975,True,276.02799135976375
"(5, 0)","(99, 99)",50,True,285.6218619830597,True,270.97425393922975
"(5, 0)","(99, 99)",55,True,247.5132279401737,True,271.463595897214
"(5, 0)","(99, 99)",60,True,218.06011579859575,True,266.9813178175029
"(5, 0)","(99, 99)",65,True,218.05837834660744,True,261.2851201314788
"(5, 0)","(99, 99)",70,True,256.93948206651964,True,263.0418637459158
"(5, 0)","(99, 99)",75,True,270.20607578308295,True,233.94669904083977
