start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(99, 99)",20,False,812.9123032388718,False,812.9123032388718,True,158.21304329609274
"(0, 0)","(99, 99)",25,True,521.9895407790069,True,253.393379745135,True,174.69806376543588
"(0, 0)","(99, 99)",30,True,312.9250450272194,True,257.69736712144197,True,157.29072053045593
"(0, 0)","(99, 99)",35,True,366.44753888528135,True,345.2932619834012,True,163.88529369157055
"(0, 0)","(99, 99)",40,True,623.5432595770949,True,391.2105905736439,True,153.9341683253162
"(0, 0)","(99, 99)",45,True,338.47024925235564,True,338.47024925235564,True,221.37738633321194
"(0, 0)","(99, 99)",50,True,798.1658499924641,True,253.2584542160066,True,163.9745691054394
"(0, 0)","(99, 99)",55,False,1660.4407541161768,False,1384.2377224078198,True,178.16918524880893
"(0, 0)","(99, 99)",60,True,329.689643929989,True,329.689643929989,True,165.73790438088042
"(0, 0)","(99, 99)",65,True,216.06289372979114,True,216.06289372979114,True,156.72590036826378
"(0, 0)","(99, 99)",70,True,223.56407700964465,True,223.56407700964465,True,186.68016522407206
"(0, 0)","(99, 99)",75,True,261.0817574964511,True,261.0817574964511,True,197.55100268971236
