start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(100, 100)",10,True,15144.86971588756,True,4668.6936826747005,True,1556.3159669798997
"(0, 0)","(100, 100)",15,True,10033.57937894216,True,3218.211063067492,True,842.2243045794343
"(0, 0)","(100, 100)",20,True,4464.609808323551,True,2207.450714872308,True,757.1807616196485
"(0, 0)","(100, 100)",25,True,2350.2028015208043,True,1507.8369374774068,True,625.0027974972403
"(0, 0)","(100, 100)",30,True,2804.4699241968397,True,2028.7919722770414,True,687.0140706594651
"(0, 0)","(100, 100)",35,True,2919.555220323125,True,971.2881239914663,True,959.2507241810733
"(0, 0)","(100, 100)",40,True,3092.881092778308,True,798.8004687590216,True,1078.6714433869352
"(0, 0)","(100, 100)",45,True,1608.909836904102,True,1706.9428999988838,True,686.6429845598394
"(0, 0)","(100, 100)",50,True,841.2992186761038,True,836.2494626884217,True,614.7328046266886
"(0, 0)","(100, 100)",55,True,3539.210744312877,True,709.9340353422185,True,524.0061495458724
"(0, 0)","(100, 100)",60,True,1894.219584685424,True,2401.50425123184,False,495.9695233422454
"(0, 0)","(100, 100)",65,True,1375.2183952146254,True,543.0391980691628,True,620.899610066927
"(0, 0)","(100, 100)",70,True,2368.1573265264956,False,10198.121010937517,False,1344.9817835457786
"(0, 0)","(100, 100)",75,True,1920.3099642991995,False,12365.819382956512,False,1018.1085850581173
"(0, 0)","(100, 100)",80,True,1745.0620272930992,True,908.5560040874647,False,747.5566441453693
"(0, 0)","(100, 100)",85,True,1967.0429471606992,True,1089.2762250098635,True,671.9414115052934
"(0, 0)","(100, 100)",90,False,7152.545429753951,False,8418.007959469214,False,970.0743583166293
"(0, 0)","(100, 100)",95,True,2031.9862424110274,True,714.1828734972415,False,720.4855180267955
"(0, 0)","(100, 100)",100,True,1833.368907489423,True,815.0315611351164,True,519.9834693172592
