start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(200, 200)",10,True,1423.7986054142843,True,1435.5709916575747,True,984.9749786708372
"(0, 0)","(200, 200)",15,True,1391.3655245345137,True,1332.6238870288082,True,989.499190965047
"(0, 0)","(200, 200)",20,True,1363.7880000512507,True,845.0924909881003,True,898.6215252304111
"(0, 0)","(200, 200)",25,True,1347.1309495450478,True,1347.1309495450478,True,875.3944508385532
"(0, 0)","(200, 200)",30,True,764.8492797576307,True,764.8492797576307,True,672.2431119731159
"(0, 0)","(200, 200)",35,True,704.999735106506,True,1103.825366213107,True,685.1468168949787
"(0, 0)","(200, 200)",40,True,746.0252150875278,True,746.0252150875278,True,682.5213794381973
"(0, 0)","(200, 200)",45,True,721.9411047502911,True,721.9411047502911,True,689.5369922830554
"(0, 0)","(200, 200)",50,True,802.2104484926051,True,802.2104484926051,True,517.8533948762114
"(0, 0)","(200, 200)",55,True,1113.3875168691775,True,1113.3875168691775,True,615.0808450310897
"(0, 0)","(200, 200)",60,True,791.2038001290412,True,791.2038001290412,True,464.4618349018336
"(0, 0)","(200, 200)",65,True,779.6095458475002,True,779.6095458475002,True,950.3108627013507
"(0, 0)","(200, 200)",70,True,897.985092607064,True,897.985092607064,True,463.6850454123968
"(0, 0)","(200, 200)",75,True,517.5829985342519,True,517.5829985342519,True,901.3116101572996
