start,goal,range,our_global_reached,our_global_cost,our_lobal_reached,our_lobal_cost,rrtreeX_reached,rrtreeX__cost
"(0, 0)","(190, 200)",10,True,1486.3448913361447,True,681.5182919796875,True,2019.0537922016515
"(0, 0)","(190, 200)",15,True,1344.363869976322,True,629.9435468680047,True,596.0903829347475
"(0, 0)","(190, 200)",20,True,1251.1330382023625,True,661.1106672984656,True,1334.0063600907076
"(0, 0)","(190, 200)",25,True,1286.7668512693403,True,1286.7668512693403,True,509.44027954564297
"(0, 0)","(190, 200)",30,True,1016.478226020094,True,1016.478226020094,True,728.6956984706666
"(0, 0)","(190, 200)",35,True,804.5127620025041,True,804.5127620025041,True,687.6341147793038
"(0, 0)","(190, 200)",40,True,1265.289772578998,True,1265.289772578998,True,685.0626184044925
"(0, 0)","(190, 200)",45,True,839.6287407557577,True,839.6287407557577,True,665.5278448109567
"(0, 0)","(190, 200)",50,True,583.6894293565513,True,583.6894293565513,True,463.0772162750596
"(0, 0)","(190, 200)",55,True,833.6119777374386,True,833.6119777374386,True,608.1404305971379
"(0, 0)","(190, 200)",60,True,574.331726429193,True,574.331726429193,True,542.9413431824657
"(0, 0)","(190, 200)",65,True,614.6019293679246,True,614.6019293679246,True,681.6640739220143
"(0, 0)","(190, 200)",70,True,764.3294036242837,True,764.3294036242837,True,472.3488315530149
"(0, 0)","(190, 200)",75,True,679.4379541779159,True,679.4379541779159,True,491.30939333207886
"(0, 0)","(190, 200)",80,True,700.2566940662248,True,700.2566940662248,True,468.96307428475876
"(0, 0)","(190, 200)",85,True,492.7115899821676,True,492.7115899821676,True,433.5162529082998
"(0, 0)","(190, 200)",90,True,494.02602618238734,True,494.02602618238734,True,433.30979835474204
"(0, 0)","(190, 200)",95,True,569.5425108352057,True,569.5425108352057,True,460.77186082479284
"(0, 0)","(190, 200)",100,True,535.1702037704343,True,535.1702037704343,True,455.2684160274287
