start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(20, 50)",20,33.32354660125915,34.041630560342625,40.644890186009725
"(0, 0)","(30, 40)",20,34.455412984732035,36.55634918610405,-10.0
"(0, 0)","(30, 40)",20,30.028048423393827,28.798989873223334,-10.0
"(0, 0)","(30, 40)",20,50.74221315438653,42.426406871192846,54.4057432930285
"(0, 0)","(30, 40)",20,39.14182759656286,41.4558441227157,42.51276923936479
"(0, 0)","(30, 40)",20,50.96854516854873,53.183766184073534,65.40880287562365
"(0, 0)","(30, 40)",20,20.93289327278962,18.72792206135786,73.25943924773165
"(0, 0)","(30, 40)",20,52.63921036529085,55.45584412271571,65.92814783790212
"(0, 0)","(30, 40)",20,41.535441529680384,44.11269837220807,50.89804930036474
"(0, 0)","(30, 40)",20,5.178357550430088,5.414213562373095,6.048895483132254
"(0, 0)","(30, 40)",20,90.25113530393018,95.01219330881972,111.24029255967478
"(0, 0)","(30, 40)",20,88.9650478827338,94.76955262170044,105.71987460680214
"(0, 0)","(30, 60)",20,49.340388282745245,31.0,91.212780080041
"(0, 0)","(30, 90)",20,49.35639678079728,29.899494936611667,50.35828580778029
"(0, 0)","(40, 40)",20,27.961005135064816,28.38477631085024,29.951641745606505
"(0, 0)","(40, 40)",20,27.591627238517816,10.414213562373096,-10.0
"(0, 0)","(40, 40)",20,59.361543814227005,47.69848480983497,64.83946765761684
"(0, 0)","(40, 40)",20,21.093906138294383,21.72792206135786,26.356295335284308
"(0, 0)","(40, 40)",20,26.330362143514908,20.48528137423857,41.2599660910432
"(0, 0)","(40, 50)",20,31.639444465017043,12.071067811865476,18.139935157698083
"(0, 0)","(40, 50)",20,48.66801860857791,42.48528137423857,-10.0
"(0, 0)","(40, 50)",20,24.08260296059228,24.213203435596437,29.54322366108004
"(0, 0)","(40, 50)",20,28.125762941208816,29.14213562373096,36.15244937502571
"(0, 0)","(40, 70)",20,49.32071257442132,30.414213562373096,108.56254405765276
"(0, 0)","(40, 70)",20,58.51577041598266,41.04163056034261,70.18152582428802
"(0, 0)","(40, 70)",20,34.15971904575968,36.62741699796952,40.98173285576789
"(0, 0)","(40, 80)",20,32.29872339529552,14.65685424949238,-10.0
"(0, 0)","(40, 80)",20,40.89405133072539,41.18376618407356,44.33526796479538
"(0, 0)","(40, 80)",20,57.994944762461,52.66904755831211,67.86191544534661
"(0, 0)","(40, 80)",20,33.88617684614168,6.242640687119285,5.904827851122729
"(0, 0)","(40, 80)",20,23.796959351299325,25.899494936611667,26.85127399983339
"(0, 0)","(40, 80)",20,29.09551229477813,29.970562748477143,31.931690961750583
"(0, 0)","(40, 80)",20,18.93358376934667,19.414213562373096,22.54294892535924
"(0, 0)","(50, 20)",20,19.98522357169365,17.142135623730955,20.35942844788304
"(0, 0)","(50, 20)",20,32.72896304490422,15.142135623730956,18.895758638617664
"(0, 0)","(50, 20)",20,36.98773890360468,6.414213562373095,25.08194228306901
"(0, 0)","(50, 20)",20,20.19440563448351,2.0,1.5636740803962028
"(0, 0)","(50, 20)",20,13.74639780000005,1.4142135623730951,0.6872837163634059
"(0, 0)","(50, 20)",20,41.91033872880724,1.4142135623730951,1.960068142063768
"(0, 0)","(50, 20)",20,90.90474707525192,92.01219330881972,113.55603704864714
"(0, 0)","(50, 20)",20,25.995354576233524,27.48528137423857,28.71698287689065
"(0, 0)","(50, 20)",20,33.46332935966289,34.89949493661167,36.459607508390974
"(0, 0)","(50, 20)",20,94.05302046546824,94.07106781186548,-10.0
"(0, 0)","(50, 20)",20,29.273864896120703,3.0,3.3552214814648003
"(0, 0)","(50, 40)",20,59.03651976214205,47.727922061357845,70.22607928708976
"(0, 0)","(50, 40)",20,33.45778532138192,32.627416997969526,57.38652865423177
"(0, 0)","(50, 40)",20,37.96882286146911,41.55634918610404,51.95451421771854
"(0, 0)","(50, 40)",20,29.88390876671017,5.0,5.678679227175394
"(0, 0)","(50, 40)",20,5.628828940553585,2.8284271247461903,2.8806087236520392
"(0, 0)","(50, 40)",20,30.48803058517864,12.0,13.553067442495784
"(0, 0)","(50, 40)",20,62.13595902491487,63.4974746830583,86.744682284857
"(0, 0)","(50, 40)",20,39.07052692480234,28.213203435596437,30.72332152830741
"(0, 0)","(50, 40)",20,86.89980969917484,81.48528137423857,111.18304712087073
"(0, 0)","(50, 40)",20,54.66520058294861,58.18376618407355,78.60783106394243
"(0, 0)","(50, 40)",20,2.2949718817671707,3.414213562373095,2.2949718817671707
"(0, 0)","(50, 50)",20,32.71662395791027,33.48528137423857,-10.0
"(0, 0)","(50, 50)",20,37.917734355113474,3.0,2.937176404501621
"(0, 0)","(50, 50)",20,22.86911948102785,23.82842712474619,-10.0
"(0, 0)","(50, 50)",20,16.072075825211357,17.142135623730955,16.491224416725192
"(0, 0)","(50, 50)",20,4.734508819226692,5.414213562373095,4.734508819226692
"(0, 0)","(50, 50)",20,26.866278236882494,23.0,23.89873775386761
"(0, 0)","(50, 50)",20,55.37378380529239,58.76955262170046,62.94423880189554
"(0, 0)","(50, 50)",20,42.68153242686847,28.07106781186548,50.09047152390696
"(0, 0)","(50, 50)",20,35.74003033977183,37.79898987322333,37.93630138097762
"(0, 0)","(50, 50)",20,37.80517850058119,16.313708498984763,30.67270293052875
"(0, 0)","(50, 50)",20,26.575584790287124,27.213203435596437,33.05379768586656
"(0, 0)","(60, 20)",20,21.45726455848192,22.313708498984763,38.47482756720751
"(0, 0)","(60, 20)",20,72.8248028386487,58.07106781186548,72.35159251676629
"(0, 0)","(60, 20)",20,61.71797156936008,64.62741699796953,75.586279382886
"(0, 0)","(60, 20)",20,23.69618788551477,22.142135623730955,29.34249081794061
"(0, 0)","(60, 20)",20,110.61724609523904,94.39696961966992,152.98059732461988
"(0, 0)","(60, 20)",20,100.4965476512728,100.76955262170044,106.41828731947416
"(0, 0)","(60, 20)",20,35.123817239728496,20.07106781186548,20.007933965102875
"(0, 0)","(60, 20)",20,34.852968866922296,37.07106781186548,41.493256924073904
"(0, 0)","(60, 20)",20,64.52379960596707,57.31370849898477,63.29812334227996
"(0, 0)","(60, 20)",20,15.31865970665345,5.656854249492381,5.010899933844327
"(0, 0)","(60, 20)",20,53.85114474800838,55.07106781186548,59.70753812736069
"(0, 0)","(60, 30)",20,6.31310666624202,7.242640687119285,6.514807637803383
"(0, 0)","(60, 30)",20,24.9126315075571,23.55634918610405,45.69303711771786
"(0, 0)","(60, 30)",20,20.81140460323157,22.313708498984763,21.91117247243105
"(0, 0)","(60, 30)",20,21.38102645531328,21.414213562373096,30.34314022409463
"(0, 0)","(60, 30)",20,22.559672536524022,22.798989873223334,25.336214052138164
"(0, 0)","(60, 30)",20,40.96535943349279,6.0,6.127012206468012
"(0, 0)","(60, 30)",20,26.08672625263816,26.414213562373096,27.247713254928303
"(0, 0)","(60, 30)",20,58.52498967892556,36.41421356237309,37.54611538636706
"(0, 0)","(60, 30)",20,35.1976506177773,22.55634918610405,26.16944592521111
"(0, 0)","(60, 30)",20,73.90827301711708,75.89949493661166,-10.0
"(0, 0)","(60, 30)",20,81.48136103846925,75.41421356237309,90.37251737534316
"(0, 0)","(60, 50)",20,34.990638901240075,26.313708498984763,49.502242870472855
"(0, 0)","(60, 50)",20,4.668117996827949,4.82842712474619,4.668117996827948
"(0, 0)","(60, 50)",20,38.20573844489251,32.31370849898477,38.92911702360997
"(0, 0)","(60, 50)",20,24.67283301732496,25.899494936611667,29.507855956265157
"(0, 0)","(60, 50)",20,13.888670959931083,12.72792206135786,18.311500536658457
"(0, 0)","(60, 50)",20,22.93099398219452,21.142135623730955,36.221664385411074
"(0, 0)","(60, 50)",20,2.364032774863097,2.414213562373095,2.364032774863097
"(0, 0)","(60, 50)",20,51.149068162817,48.0,58.900397391611286
"(0, 0)","(60, 50)",20,68.12293473994539,71.72792206135786,79.63126537419396
"(0, 0)","(60, 50)",20,76.13075608334185,78.72792206135786,86.71926942581588
"(0, 0)","(60, 50)",20,72.70190800882406,71.0,80.88134342315522
"(0, 0)","(60, 60)",20,45.28372174547478,46.45584412271569,54.09596646586807
"(0, 0)","(60, 60)",20,34.64051320302425,31.45584412271572,31.641443049791743
"(0, 0)","(60, 60)",20,18.282984397879027,12.72792206135786,20.99876298027337
"(0, 0)","(60, 60)",20,23.25987065411858,25.142135623730955,30.38222031902725
"(0, 0)","(60, 60)",20,24.424596997815804,21.0,22.64201641057209
"(0, 0)","(60, 60)",20,59.548637875797205,41.0,45.887971590585686
"(0, 0)","(60, 60)",20,58.76691492333418,57.0,63.45784728666749
"(0, 0)","(60, 60)",20,46.90004524682794,42.14213562373094,50.42113960641706
"(0, 0)","(60, 70)",20,46.81856010587431,29.65685424949238,56.90292973377305
"(0, 0)","(60, 70)",20,60.83159889319904,61.66904755831211,68.85581499326997
"(0, 0)","(60, 70)",20,21.049144901627727,20.798989873223334,28.09215824504217
"(0, 0)","(60, 70)",20,22.20227148309516,21.414213562373096,27.03073131418819
"(0, 0)","(60, 70)",20,39.67108347209633,39.41421356237309,45.792301685448976
"(0, 0)","(60, 70)",20,26.80441456695819,13.65685424949238,21.57608858424501
"(0, 0)","(60, 70)",20,6.45658025079393,6.656854249492381,23.803791624075423
"(0, 0)","(60, 70)",20,74.08378957073447,68.41421356237309,73.66726726165378
"(0, 0)","(60, 70)",20,37.56216621905481,20.0,21.25800865461712
"(0, 0)","(60, 70)",20,37.184661076747325,37.76955262170047,43.06455077150409
"(0, 0)","(60, 70)",20,35.234097409986525,35.14213562373096,-10.0
"(0, 0)","(60, 80)",20,21.575424799287447,19.970562748477143,27.74227635697868
"(0, 0)","(60, 80)",20,27.21947004484724,28.62741699796953,-10.0
"(0, 0)","(60, 80)",20,44.00326334038656,29.313708498984763,58.42000207752958
"(0, 0)","(60, 80)",20,33.17706999390488,31.798989873223334,49.07970392276791
"(0, 0)","(60, 90)",20,40.55968088449228,37.213203435596434,-10.0
"(0, 0)","(70, 20)",20,23.883001691145125,22.07106781186548,36.45757902726325
"(0, 0)","(70, 20)",20,22.02346779243725,23.970562748477143,26.37182973855301
"(0, 0)","(70, 20)",20,25.113441611546577,1.0,1.5581481809864055
"(0, 0)","(70, 20)",20,39.41118985475413,41.89949493661167,45.32602529930007
"(0, 0)","(70, 20)",20,32.459055804908104,19.0,20.94329984760243
"(0, 0)","(70, 20)",20,69.23128103631078,74.28427124746189,80.41307804801858
"(0, 0)","(70, 20)",20,61.44686195424304,60.0,70.48008775157285
"(0, 0)","(70, 20)",20,59.60451313273101,61.89949493661167,70.72092796806052
"(0, 0)","(70, 20)",20,58.37490171490983,58.0,68.74767118823907
"(0, 0)","(70, 20)",20,59.10094017404025,59.41421356237309,69.93379906352077
"(0, 0)","(70, 20)",20,37.485663129180764,9.82842712474619,9.564296170307667
"(0, 0)","(70, 30)",20,28.65010932069412,30.38477631085024,35.062599097684284
"(0, 0)","(70, 30)",20,31.947799187679493,34.21320343559643,34.81668705480275
"(0, 0)","(70, 30)",20,5.896440339592412,6.242640687119285,5.896492457702648
"(0, 0)","(70, 30)",20,36.39101509512358,8.65685424949238,8.435542362932667
"(0, 0)","(70, 30)",20,30.43743937192216,31.656854249492383,31.935261860959105
"(0, 0)","(70, 30)",20,55.03677675375266,59.38477631085024,-10.0
"(0, 0)","(70, 30)",20,14.848697214632557,14.313708498984765,23.4230104354385
"(0, 0)","(70, 30)",20,44.69096963392127,17.899494936611667,-10.0
"(0, 0)","(70, 30)",20,35.502696847757946,37.48528137423857,40.70955357496076
"(0, 0)","(70, 30)",20,90.94910490276511,74.65685424949238,80.17533082436555
"(0, 0)","(70, 30)",20,63.69802457228831,63.41421356237309,67.57320972962863
"(0, 0)","(70, 50)",20,21.24132650775343,17.970562748477146,30.236975441394872
