start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(20, 50)",20,0.0004639625549316,0.0033621788024902,0.0005745887756347
"(0, 0)","(30, 40)",20,0.0108222961425781,0.0050821304321289,-10.0
"(0, 0)","(30, 40)",20,0.0254442691802978,0.0042502880096435,-10.0
"(0, 0)","(30, 40)",20,0.0097594261169433,0.0010673999786376,0.0003890991210937
"(0, 0)","(30, 40)",20,0.0004084110260009,0.0123982429504394,0.0011053085327148
"(0, 0)","(30, 40)",20,0.0077626705169677,0.022857666015625,0.0022759437561035
"(0, 0)","(30, 40)",20,0.0020837783813476,0.0017454624176025,0.0016295909881591
"(0, 0)","(30, 40)",20,0.1170554161071777,0.0282995700836181,0.0012001991271972
"(0, 0)","(30, 40)",20,0.0842494964599609,0.0149335861206054,0.0028619766235351
"(0, 0)","(30, 40)",20,0.0002660751342773,0.0002162456512451,0.0002052783966064
"(0, 0)","(30, 40)",20,0.0921428203582763,0.1253538131713867,0.0035316944122314
"(0, 0)","(30, 40)",20,0.1030066013336181,0.1161580085754394,0.003833532333374
"(0, 0)","(30, 60)",20,0.0109639167785644,0.000765323638916,0.0013830661773681
"(0, 0)","(30, 90)",20,0.0253577232360839,0.0052294731140136,0.0006430149078369
"(0, 0)","(40, 40)",20,0.0123608112335205,0.0036475658416748,0.0007326602935791
"(0, 0)","(40, 40)",20,0.0085995197296142,0.0003082752227783,-10.0
"(0, 0)","(40, 40)",20,0.0166478157043457,0.0096819400787353,0.0016415119171142
"(0, 0)","(40, 40)",20,0.0038151741027832,0.0030727386474609,0.0004744529724121
"(0, 0)","(40, 40)",20,0.0006537437438964,0.0029144287109375,0.0011649131774902
"(0, 0)","(40, 50)",20,0.0114150047302246,0.0003767013549804,0.0002622604370117
"(0, 0)","(40, 50)",20,0.0386052131652832,0.0098931789398193,-10.0
"(0, 0)","(40, 50)",20,0.0051875114440917,0.0023314952850341,0.0007109642028808
"(0, 0)","(40, 50)",20,0.00315523147583,0.0032932758331298,0.0009193420410156
"(0, 0)","(40, 70)",20,0.0274000167846679,0.0012946128845214,0.0009691715240478
"(0, 0)","(40, 70)",20,0.0102665424346923,0.0054185390472412,0.0008242130279541
"(0, 0)","(40, 70)",20,0.0710861682891845,0.0093545913696289,0.0010614395141601
"(0, 0)","(40, 80)",20,0.0079970359802246,0.0199651718139648,-10.0
"(0, 0)","(40, 80)",20,0.0037863254547119,0.0047526359558105,0.0010042190551757
"(0, 0)","(40, 80)",20,0.1159060001373291,0.0781865119934082,0.000800609588623
"(0, 0)","(40, 80)",20,0.0038466453552246,0.0002429485321044,0.0001180171966552
"(0, 0)","(40, 80)",20,0.0609617233276367,0.0049445629119873,0.0008637905120849
