start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(140, 100)",25,True,352.6722340387418,0,0.0,0,0.0
"(0, 0)","(140, 100)",30,True,341.08630899876584,0,0.0,0,0.0
"(0, 0)","(140, 100)",10,True,527.6412384598366,1,423.66370764506297,1,364.8677888476653
"(0, 0)","(140, 100)",15,True,1952.3609321054653,1,365.3300849180084,1,332.2760297767736
"(0, 0)","(140, 100)",20,False,14696.26110954572,0,9627.228182577015,1,310.67083868712524
"(0, 0)","(140, 100)",25,True,352.6722340387418,1,352.6722340387418,0,557.6037197552444
"(0, 0)","(140, 100)",30,True,341.08630899876647,1,341.08630899876647,0,555.6612393231542
"(0, 0)","(140, 140)",10,False,783.4051856071494,0,0.0,0,0.0
"(0, 0)","(140, 140)",15,False,1046.9319726196818,0,0.0,0,0.0
"(0, 0)","(140, 140)",20,False,1602.1691597918,0,0.0,0,0.0
"(0, 0)","(140, 140)",25,True,1549.6816756822875,0,0.0,0,0.0
"(0, 0)","(140, 140)",30,True,448.00119949046217,0,0.0,0,0.0
"(0, 0)","(140, 140)",10,True,898.5379041108813,1,553.7000506235913,0,553.1328445194322
"(0, 0)","(140, 140)",15,True,3156.4935727078405,1,522.7153987812817,0,561.0359545388231
"(0, 0)","(140, 140)",20,True,1943.2770434347865,1,1412.721297852423,0,550.2607445719028
"(0, 0)","(140, 140)",25,True,1549.6816756822864,0,19928.858156246035,0,550.8159984461888
"(0, 0)","(140, 140)",30,True,448.00119949046217,1,448.00119949046217,0,551.9847374548551
"(0, 0)","(140, 20)",10,True,145.26614959998147,0,0.0,0,0.0
"(0, 0)","(140, 20)",15,True,161.07459007731504,0,0.0,0,0.0
"(0, 0)","(140, 20)",20,True,148.5585613397058,0,0.0,0,0.0
"(0, 0)","(140, 20)",25,True,163.95828554499153,0,0.0,0,0.0
"(0, 0)","(140, 20)",30,True,154.05435578511407,0,0.0,0,0.0
"(0, 0)","(140, 20)",10,True,145.26614959998147,1,145.26614959998147,1,160.26452963576742
"(0, 0)","(140, 20)",15,True,161.07459007731504,1,161.07459007731504,1,154.5319740923972
"(0, 0)","(140, 20)",20,True,148.5585613397058,1,148.5585613397058,1,152.40965983560503
"(0, 0)","(140, 20)",25,True,163.95828554499153,1,163.95828554499153,1,151.19408056495482
"(0, 0)","(140, 20)",30,True,154.05435578511407,1,154.05435578511407,1,392.43236195489385
"(0, 0)","(160, 120)",10,True,503.93086119352256,1,841.1544089440782,0,559.7010991298872
"(0, 0)","(160, 120)",15,True,415.4720406826913,1,384.8026854123164,0,562.637900833458
"(0, 0)","(160, 120)",20,True,1982.1228775638317,1,383.4846483711885,0,568.0719209902894
"(0, 0)","(160, 120)",25,False,17427.40765103987,1,1516.7169565919428,0,555.3385718284962
"(0, 0)","(160, 120)",30,True,387.4819694893107,1,387.4819694893107,0,567.9929997759032
"(0, 0)","(160, 160)",10,True,1895.4005500844476,1,657.8184949539913,0,549.0753721121197
"(0, 0)","(160, 160)",15,True,1735.0446966290176,1,1668.9772304956462,1,490.2411204882955
"(0, 0)","(160, 160)",20,True,1471.6805552271703,1,1395.8272863116674,0,562.690509957573
"(0, 0)","(160, 160)",25,True,1459.782424626559,1,863.7971564160378,0,561.9828084875184
"(0, 0)","(160, 160)",30,True,503.7271734746399,1,503.7271734746399,0,541.8897243319175
"(0, 0)","(160, 20)",10,True,173.59485603955912,0,0.0,0,0.0
"(0, 0)","(160, 20)",15,True,166.643742673673,0,0.0,0,0.0
"(0, 0)","(160, 20)",20,True,178.60212289781447,0,0.0,0,0.0
"(0, 0)","(160, 20)",25,True,175.32445262464253,0,0.0,0,0.0
"(0, 0)","(160, 20)",30,True,182.11469914380933,0,0.0,0,0.0
"(0, 0)","(160, 20)",10,True,173.59485603955912,1,173.59485603955912,1,352.1646081743073
"(0, 0)","(160, 20)",15,True,166.643742673673,1,166.643742673673,1,167.84903671473975
"(0, 0)","(160, 20)",20,True,178.60212289781447,1,178.60212289781447,1,167.279791459845
"(0, 0)","(160, 20)",25,True,175.32445262464253,1,175.32445262464253,1,167.87108918258852
"(0, 0)","(160, 20)",30,True,182.11469914380933,1,182.11469914380933,1,411.14579173446697
"(0, 0)","(160, 40)",10,False,1197.87873710616,0,0.0,0,0.0
"(0, 0)","(160, 40)",15,True,692.525531494942,0,0.0,0,0.0
"(0, 0)","(160, 40)",20,True,184.05613562421823,0,0.0,0,0.0
"(0, 0)","(160, 40)",25,True,180.1803973488668,0,0.0,0,0.0
"(0, 0)","(160, 40)",30,True,186.45446089626057,0,0.0,0,0.0
"(0, 0)","(160, 40)",10,True,1207.87873710611,1,740.8511246400574,1,183.6139434751636
"(0, 0)","(160, 40)",15,True,692.5255314949422,1,576.4826812275272,1,474.9469646772328
"(0, 0)","(160, 40)",20,True,184.05613562421823,1,184.05613562421823,1,178.8958357755086
"(0, 0)","(160, 40)",25,True,180.1803973488668,1,180.1803973488668,1,441.7475496048585
"(0, 0)","(160, 40)",30,True,186.45446089626057,1,186.45446089626057,1,428.09086006569146
"(0, 0)","(160, 80)",10,False,1101.2387769345426,0,0.0,0,0.0
