start,goal,range,global_reached_goal,global_cost,local_reached_goal,local_cost
"(0, 0)","(50, 50)",20,True,915.3891269856965,True,803.6137688222287
"(0, 0)","(50, 50)",25,True,775.9712454304074,True,765.5163327828955
"(0, 0)","(50, 50)",30,True,771.5705470225178,True,434.12191227089613
"(0, 0)","(50, 50)",35,True,921.94578170031,True,618.3354264563219
"(0, 0)","(50, 50)",40,True,581.6013001861422,False,4063.1404324213695
"(0, 0)","(50, 50)",45,True,649.5471368509853,False,4760.99558794022
"(0, 0)","(50, 50)",50,False,22058.567990881755,False,5244.108198816181
"(0, 0)","(50, 50)",55,False,22132.74586023037,True,345.5531264453703
"(0, 0)","(50, 50)",60,False,27482.50951281212,False,11071.393465893028
"(0, 0)","(50, 50)",65,True,505.60696105105256,True,268.31757685648796
"(0, 0)","(50, 50)",70,True,507.3043457203223,True,251.84552539470292
"(0, 0)","(50, 50)",75,False,31058.34314273287,False,7471.261046919657
"(0, 0)","(45, 65)",20,True,448.46065680524464,True,448.46065680524464
"(0, 0)","(45, 65)",25,False,10862.16905059205,False,4037.4696323244507
"(0, 0)","(45, 65)",30,False,13934.43177726818,False,5947.693950762524
"(0, 0)","(45, 65)",35,True,663.2445556207116,True,456.3152428750708
"(0, 0)","(45, 65)",40,False,17990.187864323485,False,4063.1404324211717
"(0, 0)","(45, 65)",45,False,19590.071533116185,False,4668.608812460657
"(0, 0)","(45, 65)",50,False,22959.308339849937,False,4983.803078248103
"(0, 0)","(45, 65)",55,True,221.7448831606519,True,221.7448831606519
"(0, 0)","(45, 65)",60,False,26354.42616536794,False,6000.0000000000655
"(0, 0)","(45, 65)",65,False,26695.513389054933,False,6686.828560921207
"(0, 0)","(45, 65)",70,False,30342.030489968827,False,13696.615594832929
"(0, 0)","(45, 65)",75,False,30699.844831033515,False,7471.261046919565
"(0, 0)","(100, 100)",20,True,592.6280705899975,True,541.1837587900067
"(0, 0)","(100, 100)",25,True,485.83350253449834,True,485.83350253449834
"(0, 0)","(100, 100)",30,True,511.04706926530946,True,274.4399589642794
"(0, 0)","(100, 100)",35,True,640.813646110718,True,472.5041339455221
"(0, 0)","(100, 100)",40,True,416.22687047216647,True,416.22687047216647
"(0, 0)","(100, 100)",45,True,216.5454485915753,True,216.5454485915753
"(0, 0)","(100, 100)",50,True,222.53741209274676,True,222.53741209274676
"(0, 0)","(100, 100)",55,True,234.02661497829305,True,234.02661497829305
"(0, 0)","(100, 100)",60,True,228.02579243821233,True,228.02579243821233
"(0, 0)","(100, 100)",65,True,232.810568160612,True,232.810568160612
"(0, 0)","(100, 100)",70,True,241.4507149164706,True,241.4507149164706
"(0, 0)","(100, 100)",75,True,250.08967507544128,True,250.08967507544128
"(20, 62)","(50, 50)",20,True,294.95175465596463,True,623.2593311001024
"(20, 62)","(50, 50)",25,True,358.0278317732112,True,563.6588368218414
"(20, 62)","(50, 50)",30,True,917.0749509221289,False,3383.4233935983743
"(20, 62)","(50, 50)",35,True,292.683333998286,True,509.95705456308076
"(20, 62)","(50, 50)",40,True,309.80581827053885,True,921.9203235072961
"(20, 62)","(50, 50)",45,True,388.58872171153126,False,4790.941580288648
"(20, 62)","(50, 50)",50,True,683.952859256849,False,5311.430708184109
"(20, 62)","(50, 50)",55,False,23106.10169458262,False,5760.430186553565
"(20, 62)","(50, 50)",60,True,560.9779753594642,True,560.9779753594642
"(20, 62)","(50, 50)",65,True,573.7040742939513,False,6933.809779204006
"(20, 62)","(50, 50)",70,True,608.6446956478111,False,7206.398675912129
"(20, 62)","(50, 50)",75,True,646.6934008444756,False,7427.33168115581
"(20, 62)","(45, 65)",20,False,8663.918982032244,False,4457.53800815531
"(20, 62)","(45, 65)",25,True,215.00585529771763,True,215.00585529771763
"(20, 62)","(45, 65)",30,True,268.74828637527315,True,268.74828637527315
"(20, 62)","(45, 65)",35,False,15068.792339308548,False,3667.833760192039
"(20, 62)","(45, 65)",40,False,18208.513270153086,False,4317.014668248518
"(20, 62)","(45, 65)",45,True,288.789656957956,True,288.789656957956
"(20, 62)","(45, 65)",50,True,310.0310597241365,True,310.0310597241365
"(20, 62)","(45, 65)",55,True,334.63176886056283,True,334.63176886056283
"(20, 62)","(45, 65)",60,False,22577.869052601112,False,10709.214933978097
"(20, 62)","(45, 65)",65,False,25513.561607057643,False,11501.768027116836
"(20, 62)","(45, 65)",70,False,27080.436647380444,False,7119.035683480297
"(20, 62)","(45, 65)",75,False,29810.090887983482,False,7623.706042085545
"(20, 62)","(100, 100)",20,True,204.60515460033432,True,204.60515460033432
"(20, 62)","(100, 100)",25,True,235.70649386352076,True,235.70649386352076
"(20, 62)","(100, 100)",30,True,254.4137388496094,True,254.4137388496094
"(20, 62)","(100, 100)",35,True,259.13528753578066,True,259.13528753578066
"(20, 62)","(100, 100)",40,True,249.99064652513627,True,249.99064652513627
"(20, 62)","(100, 100)",45,True,267.1394586897896,True,267.1394586897896
"(20, 62)","(100, 100)",50,True,282.90585195847547,True,282.90585195847547
"(20, 62)","(100, 100)",55,True,290.7656436369781,True,290.7656436369781
"(20, 62)","(100, 100)",60,True,304.4435399751571,True,304.4435399751571
"(20, 62)","(100, 100)",65,True,317.9713687495785,True,317.9713687495785
"(20, 62)","(100, 100)",70,True,331.62093194677215,True,331.62093194677215
"(20, 62)","(100, 100)",75,True,345.40066386564155,True,345.40066386564155
