coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
200,200,0,,
121.9295007451,182.5358325109,79.99999999997924,200,200
52.9595965909,167.0808311708,150.68029955694226,121.9295007451,182.5358325109
-15.2277737139,151.788794053,220.561369012812,52.9595965909,167.0808311708
-14.4536286932,151.8439721168,219.79400888466017,52.9595965909,167.0808311708
-7.638404467,153.4469523029,212.79310327081288,52.9595965909,167.0808311708
-7.6679751866,153.542037488,212.8011607391678,52.9595965909,167.0808311708
-17.9730019833,150.6515562412,223.49070139075292,52.9595965909,167.0808311708
62.4126392361,169.3185114797,140.96683015477151,121.9295007451,182.5358325109
-11.4640089281,153.017884395,216.62044597934033,62.4126392361,169.3185114797
29.4241695069,162.2913717538,174.69545046159203,62.4126392361,169.3185114797
37.0020121291,163.5883010334,167.01553994489143,62.4126392361,169.3185114797
211.3316621735,120.8066073944,79.99999999999395,200,200
222.6009320776,46.1545798472,155.49782553874283,211.3316621735,120.8066073944
229.8389205602,-5.5672397146,207.72363425490965,222.6009320776,46.1545798472
224.6172189333,31.9964508118,169.7988055914352,222.6009320776,46.1545798472
230.3622630586,-6.9599392763,209.1764097257096,222.6009320776,46.1545798472
222.1463597439,49.2849514544,152.33467323447366,211.3316621735,120.8066073944
224.2016614678,34.3011807985,167.45874835478685,222.1463597439,49.2849514544
224.4940747183,32.4704077157,169.3123246251012,222.1463597439,49.2849514544
224.3615619768,33.3669630874,168.4060600627655,222.1463597439,49.2849514544
142.7262769711,229.5274322082,64.4371678645252,200,200
197.6570406677,169.9235582042,30.16756220726092,200,200
217.0390826085,217.6032171582,24.4990528481824,200,200
124.9744118353,176.800194127,78.53069382097713,200,200
55.044137248,155.1941137946,151.7226743324054,124.9744118353,176.800194127
12.4944106104,141.8714431624,196.30936281348204,55.044137248,155.1941137946
-23.5631889887,130.6635503563,234.06869742099394,12.4944106104,141.8714431624
50.9268684078,153.315527439,156.21317741344444,124.9744118353,176.800194127
30.1453439058,146.713178808,178.01828617429436,50.9268684078,153.315527439
45.9927132972,151.7436780527,161.39165181703783,50.9268684078,153.315527439
165.1570358625,162.1155058251,51.471031160985525,200,200
140.873132879,135.7489528471,87.31657565473984,165.1570358625,162.1155058251
116.956642632,110.0097389772,122.45193596208358,165.1570358625,162.1155058251
64.3499079708,53.0254041448,200.00632299470072,116.956642632,110.0097389772
17.4800270999,2.4220554142,268.9808446356884,64.3499079708,53.0254041448
15.1271708415,-0.3004879399,272.5771753882701,64.3499079708,53.0254041448
35.5043611715,21.8477144915,242.48118499880965,64.3499079708,53.0254041448
-11.6289393762,-29.352428377,312.0728702081407,35.5043611715,21.8477144915
-16.6646170385,-34.5394772883,319.2999176379739,35.5043611715,21.8477144915
1.9978889721,-14.7862938869,292.12727496688115,35.5043611715,21.8477144915
-13.0276399404,-30.5671838569,313.91420748000223,35.5043611715,21.8477144915
-0.0884489508,-16.955132669,295.1358056902858,35.5043611715,21.8477144915
15.013197371,-0.8707010696,273.0741077571396,64.3499079708,53.0254041448
176.9489520898,226.5396206134,35.15255711981052,200,200
140.0798190276,219.8984084828,63.13774424156706,200,200
172.9324815105,197.0347025735,27.229460993692694,200,200
156.8418523945,152.0284890637,64.52822302101366,200,200
121.1596683543,111.9976666527,118.1536367796013,156.8418523945,152.0284890637
89.3449219715,75.8695238587,166.29323367389964,121.1596683543,111.9976666527
40.7768750699,21.4799291482,239.2115660232373,89.3449219715,75.8695238587
1.2333955854,-23.0995807963,298.8019971060282,40.7768750699,21.4799291482
33.3507185647,13.0756528905,250.42671915885984,40.7768750699,21.4799291482
94.3583829429,81.9163336419,158.4425371792147,121.1596683543,111.9976666527
45.7485346644,27.4362609359,231.45620488403443,94.3583829429,81.9163336419
3.5843875283,-20.3361387869,295.17447133086796,45.7485346644,27.4362609359
0.6901680578,-23.468511243,299.4382042062115,45.7485346644,27.4362609359
3.9882444839,-19.8083137461,294.5115113446539,45.7485346644,27.4362609359
-0.4645937381,-24.6562481676,301.092996463229,45.7485346644,27.4362609359
145.4687135965,139.3356188191,81.57102916216378,156.8418523945,152.0284890637
143.6675635277,137.0371782921,84.48570998196594,156.8418523945,152.0284890637
97.3454312762,84.8608564852,154.2575416450565,143.6675635277,137.0371782921
106.0986387827,95.0311832452,140.84051952832877,156.8418523945,152.0284890637
113.7657415425,103.9101880374,129.11090041821836,156.8418523945,152.0284890637
81.6131759915,67.9463168021,177.3518322680551,113.7657415425,103.9101880374
36.6630826229,17.6087651814,244.83797897248988,81.6131759915,67.9463168021
-8.4600417387,-32.6884918728,312.40949974366015,36.6630826229,17.6087651814
1.6192997412,-21.7449853805,297.5331818086872,36.6630826229,17.6087651814
85.3299872665,72.1633235206,171.73079633424692,113.7657415425,103.9101880374
39.0935798307,20.9124551639,240.7558416430701,85.3299872665,72.1633235206
-13.1306547964,-37.4803201303,319.09540309796546,39.0935798307,20.9124551639
-3.4742633207,-26.2341622457,304.27611245270526,39.0935798307,20.9124551639
-14.5844133184,-38.5037522467,320.8284014715701,-3.4742633207,-26.2341622457
56.1296773649,39.5559282376,215.5017950147807,85.3299872665,72.1633235206
4.0433327254,-18.2350049841,293.3014046573731,56.1296773649,39.5559282376
-14.942928505,-39.5579739449,321.8521860969805,4.0433327254,-18.2350049841
108.7101973393,98.5429679586,136.48207758237027,156.8418523945,152.0284890637
80.6866002348,67.4990830258,178.30366036442513,108.7101973393,98.5429679586
32.4306431846,13.8279463828,250.47864425345918,80.6866002348,67.4990830258
-3.7852231512,-25.951321351,304.2743607733632,32.4306431846,13.8279463828
-14.9982394484,-38.394134351,321.023981618748,32.4306431846,13.8279463828
42.27519361,24.5713469651,235.9077112826796,80.6866002348,67.4990830258
117.3043013771,107.6487892693,123.96538054300973,156.8418523945,152.0284890637
95.155656482,82.5939160868,157.40651002274467,117.3043013771,107.6487892693
115.2981950539,105.4583703058,126.93536545165293,156.8418523945,152.0284890637
210.3031843328,151.4215665632,49.65903545750021,200,200
225.981732882,80.8804426538,121.9215225930185,210.3031843328,151.4215665632
221.5296277739,101.0298349404,101.28615670477217,210.3031843328,151.4215665632
225.1108987664,83.3587782673,119.31398185299712,210.3031843328,151.4215665632
227.6714437904,72.0311706341,130.9273829703125,225.1108987664,83.3587782673
222.9857502455,91.4837153118,110.92398049758764,210.3031843328,151.4215665632
231.8704543486,48.528264721,154.7886439803764,222.9857502455,91.4837153118
230.5686408736,54.6752594492,148.50539416533968,222.9857502455,91.4837153118
230.8473329843,53.3214670907,149.88757469072962,222.9857502455,91.4837153118
226.9719249211,73.7570560177,129.0921715599614,210.3031843328,151.4215665632
226.994945794,73.2754019815,129.56797074954216,210.3031843328,151.4215665632
234.4844827609,37.8169185368,165.80879320401502,226.994945794,73.2754019815
166.4115247654,158.1932263723,53.62827602807208,200,200
146.6842342613,133.4243608688,85.29312545079358,166.4115247654,158.1932263723
120.9725162031,101.5828868047,126.21914353276408,166.4115247654,158.1932263723
95.3261437477,69.8088549455,167.0520410629487,120.9725162031,101.5828868047
77.5937394053,47.7101887858,195.3855072387516,120.9725162031,101.5828868047
32.9161033889,-7.6996143001,266.5637162498818,77.5937394053,47.7101887858
29.990375798,-11.8153701482,271.6047462347815,77.5937394053,47.7101887858
29.3259127741,-12.5901883609,272.624866193457,77.5937394053,47.7101887858
41.4158004866,2.038066147,253.65029978741492,77.5937394053,47.7101887858
158.1941643039,239.0099036217,57.179545983014165,200,200
229.711734911,165.6179876347,45.44128041449953,200,200
143.9465195339,213.571523554,57.67303463439594,200,200
99.1877900655,224.2678108556,103.69210052739064,143.9465195339,213.571523554
48.5530780661,236.5155055992,155.7870147301666,99.1877900655,224.2678108556
196.6401726614,196.757636319,4.669192862269871,200,200
206.7311862494,213.6489759453,15.218522026776775,200,200
170.0718609872,145.5025765108,62.174453529811494,200,200
137.5975305567,217.4980082906,64.80932407269725,200,200
67.1640476154,236.9612263973,137.8825228415439,137.5975305567,217.4980082906
231.0248289412,180.7168472412,36.529166307896176,200,200
167.4807228864,207.9730843686,33.48243507183913,200,200
98.3770013278,224.8650067049,104.62076070200916,167.4807228864,207.9730843686
40.7739089244,239.0594438871,163.94696318753878,98.3770013278,224.8650067049
38.381834591,239.5687542019,166.3914675316381,98.3770013278,224.8650067049
139.0493906198,234.9323747009,70.25131732616696,200,200
145.268510256,153.1477334928,72.0463104291904,200,200
105.2754754703,118.6145752292,124.88551794623268,145.268510256,153.1477334928
108.333339451,121.3387996032,120.7906959272913,145.268510256,153.1477334928
66.0440502859,85.2312315054,176.39771393785097,108.333339451,121.3387996032
42.3401048868,64.9204330034,207.61318387300267,66.0440502859,85.2312315054
-12.4158937742,17.8736938849,279.80470034860826,42.3401048868,64.9204330034
16.0026891508,42.9409902266,241.91566820744504,66.0440502859,85.2312315054
43.6725471788,66.1206541643,205.82046563753312,66.0440502859,85.2312315054
-8.2693987346,21.7255472973,274.14975115262484,43.6725471788,66.1206541643
-4.4997699227,25.0160172603,269.1463158879415,43.6725471788,66.1206541643
-11.0515029639,19.4341545569,277.7534290557092,-4.4997699227,25.0160172603
5.7200662293,34.1036807798,255.47368687312212,66.0440502859,85.2312315054
45.6992750433,67.6909429001,203.25979881652572,66.0440502859,85.2312315054
13.9288907866,41.118420103,244.6760412420636,66.0440502859,85.2312315054
33.7730859297,58.1842279524,218.50419255664696,66.0440502859,85.2312315054
12.0209434742,39.4539713114,247.20769642942855,66.0440502859,85.2312315054
24.3516936628,49.587777976,231.24940835370515,66.0440502859,85.2312315054
205.6741605305,158.6886469902,41.69920844843695,200,200
210.7483606829,120.4382584408,80.28469446801026,205.6741605305,158.6886469902
218.2539707375,64.0215709617,137.19846089060923,210.7483606829,120.4382584408
223.3631246114,26.0821670683,175.48033416104522,218.2539707375,64.0215709617
224.4473150105,17.0130395398,184.6132216695867,218.2539707375,64.0215709617
227.9198999532,-6.4980596764,208.37745001617196,218.2539707375,64.0215709617
221.65011412,38.881990886,162.56639884892644,218.2539707375,64.0215709617
231.0420010084,-35.9055945364,237.94139783822843,221.65011412,38.881990886
230.4669402906,-26.5852937247,228.6247198843643,221.65011412,38.881990886
211.9726233626,112.2301782842,88.58268046740892,205.6741605305,158.6886469902
141.2518664722,171.851066566,65.14373067665056,200,200
123.4501874562,163.1791097717,84.94531168501705,141.2518664722,171.851066566
95.7576579711,150.1022206888,115.56927285649982,141.2518664722,171.851066566
50.8469770272,128.7749430069,165.2866947140907,95.7576579711,150.1022206888
4.8007543976,106.7008833999,216.35056379965917,50.8469770272,128.7749430069
-7.6298171354,100.8540145662,230.08726338849186,50.8469770272,128.7749430069
-34.838726796,87.7681627028,260.2793862669769,-7.6298171354,100.8540145662
-0.6858903859,104.2123080466,222.37399154980622,50.8469770272,128.7749430069
33.9817404331,120.4432294917,184.09605409195134,95.7576579711,150.1022206888
-2.1776559242,103.0025375247,224.24178463969577,33.9817404331,120.4432294917
