start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(20, 100)",10,True,111.24725689973516,True,111.24725689973516,0,0
"(0, 0)","(20, 100)",15,True,268.48397161056107,True,352.4587102587147,0,0
"(0, 0)","(20, 100)",20,True,267.9705350860737,True,334.07303825735085,0,0
"(0, 0)","(20, 100)",25,True,106.49294124651108,True,106.49294124651108,0,0
"(0, 0)","(20, 100)",30,True,175.80420038792124,True,288.47961060036033,0,0
