start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(160, 40)",10,True,1207.87873710611,True,740.8511246400574,True,183.61394347516358
"(0, 0)","(160, 40)",15,True,692.5255314949422,True,576.4826812275272,True,474.94696467723276
"(0, 0)","(160, 40)",20,True,184.05613562421823,True,184.05613562421823,True,178.8958357755086
"(0, 0)","(160, 40)",25,True,180.18039734886676,True,180.18039734886676,True,441.7475496048585
"(0, 0)","(160, 40)",30,True,186.45446089626057,True,186.45446089626057,True,428.09086006569146
