coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
80,20,0,,
57.2576693854,30.3820228383,24.999999999975106,80,20
47.1710731006,35.0284588421,36.10534970855926,57.2576693854,30.3820228383
29.8801987146,43.0377409983,55.16113459635789,47.1710731006,35.0284588421
9.0376295696,53.1629641033,78.33294573597604,29.8801987146,43.0377409983
-8.8832911213,61.6025199245,98.14166858397103,9.0376295696,53.1629641033
-6.5729282868,60.8221013982,95.72121478985659,9.0376295696,53.1629641033
24.805173629,45.8769600411,60.96341555122734,47.1710731006,35.0284588421
2.9256454267,55.8927755671,85.02646429834383,24.805173629,45.8769600411
31.2369367085,41.573594946,53.33136228200819,47.1710731006,35.0284588421
21.9814815589,45.511321504,63.38964943598405,31.2369367085,41.573594946
27.2723159334,44.2624229101,58.04222800079374,47.1710731006,35.0284588421
24.9392064024,44.6582495533,60.333200748799044,47.1710731006,35.0284588421
20.8200514929,46.4505737686,64.82540101828934,24.9392064024,44.6582495533
27.1294499167,43.7823889774,57.97537377482748,47.1710731006,35.0284588421
17.535953794,47.9420224624,68.4318415620773,27.1294499167,43.7823889774
40.0787217109,38.8465854906,44.15111130187926,57.2576693854,30.3820228383
18.9477371412,49.1861171263,67.67608576160059,40.0787217109,38.8465854906
11.6569933566,52.7276599656,75.78148338388172,18.9477371412,49.1861171263
10.8507048412,53.2016530523,76.71414201503474,18.9477371412,49.1861171263
25.7916103746,46.1839404708,60.212192474742366,40.0787217109,38.8465854906
7.0843167475,55.6033255659,81.15706417213713,25.7916103746,46.1839404708
-9.0997773385,63.7692694844,99.28459962140842,7.0843167475,55.6033255659
25.715810238,46.0391325779,60.21429777223408,40.0787217109,38.8465854906
22.6303120838,47.1827909374,63.488621993959924,40.0787217109,38.8465854906
6.1010714632,55.1578500251,81.84120663335062,22.6303120838,47.1827909374
4.6763610257,55.8413114533,83.42136731719404,22.6303120838,47.1827909374
2.2451978458,56.9396625435,86.08838805545336,22.6303120838,47.1827909374
28.9888387628,44.1343834292,56.4371322542471,40.0787217109,38.8465854906
10.6891516875,52.8599489046,76.7106134530791,28.9888387628,44.1343834292
9.4427467874,53.5498507635,78.13277090891839,28.9888387628,44.1343834292
38.4998243757,39.0217895699,45.65193256291917,57.2576693854,30.3820228383
22.314139346,46.2559597261,63.380711926696854,38.4998243757,39.0217895699
1.4727567783,56.3499564625,86.53782740871843,22.314139346,46.2559597261
18.3450654301,47.9884098409,67.71127496561901,38.4998243757,39.0217895699
50.2013720673,33.703680553,32.79902184986444,57.2576693854,30.3820228383
28.277747821,42.6540255829,56.479266279498376,50.2013720673,33.703680553
87.5589021344,43.8298761751,24.999999999960707,80,20
93.5173482434,62.4909301244,44.58923210672136,87.5589021344,43.8298761751
97.0695956207,73.9015043929,56.5399503515169,93.5173482434,62.4909301244
103.5522519643,92.6434751484,76.37139762773037,97.0695956207,73.9015043929
103.482859344,95.2133566801,78.79584843485715,97.0695956207,73.9015043929
110.1099085533,117.1026461946,101.6663267130236,103.482859344,95.2133566801
113.9381340471,130.9731104973,116.05538819749351,110.1099085533,117.1026461946
115.7793930562,135.6806190228,121.09012986621582,110.1099085533,117.1026461946
122.4366124329,156.5652872637,143.01016493375087,115.7793930562,135.6806190228
128.3641423183,174.0842049814,161.50470706222364,122.4366124329,156.5652872637
128.1126350135,177.2627291405,164.47178958285411,122.4366124329,156.5652872637
120.1766475867,151.0297549519,137.05671438438975,115.7793930562,135.6806190228
126.6114781818,175.1660906181,162.03610076954965,120.1766475867,151.0297549519
126.6695127744,173.2844315594,160.2392062532561,120.1766475867,151.0297549519
131.5574285801,189.0097466497,176.70666676217576,126.6695127744,173.2844315594
134.2754941026,197.7065188683,185.81829269868217,131.5574285801,189.0097466497
136.9303978413,206.5549952319,195.05617755927852,131.5574285801,189.0097466497
136.669544356,204.5506718351,193.066803782519,131.5574285801,189.0097466497
133.5627552259,195.1376219811,183.1543168018054,131.5574285801,189.0097466497
135.170633334,199.4439893891,187.74879835613567,131.5574285801,189.0097466497
119.0871102671,147.0407102014,132.92197945676546,115.7793930562,135.6806190228
102.9871735628,91.6556476844,75.254312021527,97.0695956207,73.9015043929
