coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
180,100,0,,
174.0906699687,91.9327936322,9.999999999974836,180,100
169.7127608659,82.9420254844,19.999999999968544,174.0906699687,91.9327936322
169.211006354,81.7831576646,21.26282707204929,169.7127608659,82.9420254844
167.5554136568,87.5524068435,17.86748774898637,174.0906699687,91.9327936322
174.6556811254,108.452115461,9.999999999974053,180,100
186.3674670556,102.8588895454,6.97981992152726,180,100
191.5809363981,105.1960278653,12.69317953838425,186.3674670556,102.8588895454
179.3585219168,101.4873075366,1.619746226929738,180,100
175.5541792774,106.0632827033,7.51855830845492,180,100
170.0238666306,112.4646885253,15.978011864642323,175.5541792774,106.0632827033
171.5460818526,111.9865508649,14.670477678869595,175.5541792774,106.0632827033
168.2725689971,118.2999627029,21.782091803055636,171.5460818526,111.9865508649
167.5001427368,121.3392299446,24.917978869592275,168.2725689971,118.2999627029
166.3654008824,123.2477360664,27.08470922035894,168.2725689971,118.2999627029
164.741424579,126.6653811958,30.8622463977105,168.2725689971,118.2999627029
159.0448214607,134.6263116011,40.65140877277894,164.741424579,126.6653811958
162.9517693816,132.808523137,37.260766432477254,164.741424579,126.6653811958
159.3875556617,137.9699081725,43.53320733899895,162.9517693816,132.808523137
158.4088308401,140.4699255637,46.167807340415806,162.9517693816,132.808523137
163.7191027167,128.3351478473,32.820118370184204,164.741424579,126.6653811958
159.1145436514,135.549382557,41.378573057362075,163.7191027167,128.3351478473
158.3781627622,138.8066950868,44.7180852568863,159.1145436514,135.549382557
163.7765034678,128.0704277146,32.56671947489049,164.741424579,126.6653811958
163.6103593614,122.7961753444,28.259137951169635,168.2725689971,118.2999627029
160.3477561157,125.6696881967,32.6067414348357,163.6103593614,122.7961753444
156.9301714832,129.8834962317,37.99849252155103,163.6103593614,122.7961753444
151.7147038082,137.5413899103,47.26371991550699,156.9301714832,129.8834962317
158.1169492756,127.9316365897,35.779145702013196,163.6103593614,122.7961753444
162.6817278168,124.9762847633,30.490178926960745,168.2725689971,118.2999627029
159.246415773,129.2526867507,35.97552146832642,162.6817278168,124.9762847633
156.0392741683,132.2502691024,40.365425479557295,159.246415773,129.2526867507
150.7059366053,139.2252093739,49.14576040209295,156.0392741683,132.2502691024
145.4790955861,145.9845280138,57.690247251266015,150.7059366053,139.2252093739
154.3201425603,135.7114652239,44.09857428928217,159.246415773,129.2526867507
153.4051366428,137.0120793002,45.68781855059004,159.246415773,129.2526867507
156.7316511954,131.3660275862,39.260373119123386,159.246415773,129.2526867507
166.2955403515,120.9745634222,25.108070046099787,168.2725689971,118.2999627029
161.5489464162,127.5864510664,33.24730908953322,166.2955403515,120.9745634222
158.6876593661,132.1028655074,38.59379980643747,161.5489464162,127.5864510664
155.4531421893,136.3197278217,43.90831099231129,158.6876593661,132.1028655074
150.0275548303,143.8176773878,53.16337695025666,155.4531421893,136.3197278217
147.6896943989,147.6966537391,57.692399905668836,150.0275548303,143.8176773878
155.6038651835,135.480689284,43.129767685430195,161.5489464162,127.5864510664
148.9964665495,141.5235880526,52.08378031866522,155.6038651835,135.480689284
150.7834360028,139.3675110849,49.322014547280574,155.6038651835,135.480689284
151.7484478112,141.0779448324,49.92634864858565,155.6038651835,135.480689284
147.9386535014,148.3147541994,58.104731281923584,151.7484478112,141.0779448324
145.5942023141,147.1715742427,58.58701011458517,151.7484478112,141.0779448324
144.8829737243,148.239807944,59.84738779109449,151.7484478112,141.0779448324
147.4658472644,144.4370790827,55.36918342055791,151.7484478112,141.0779448324
146.2749256899,146.8168308979,57.85693864461689,151.7484478112,141.0779448324
139.6509752216,153.7523251049,67.44744435087776,146.2749256899,146.8168308979
140.3882135557,154.4225150338,67.47462084595931,146.2749256899,146.8168308979
140.4170814717,154.3698180668,67.41528337884088,146.2749256899,146.8168308979
137.2048314626,157.1481986665,71.66239402935992,140.4170814717,154.3698180668
135.8643177344,159.6629617295,74.39704730220974,140.4170814717,154.3698180668
133.3518282238,167.0158262141,82.1673252682652,135.8643177344,159.6629617295
144.5501312604,148.7969188829,60.482898326785595,146.2749256899,146.8168308979
138.4937429019,156.3223110196,70.14267921250348,144.5501312604,148.7969188829
136.138525965,158.8862150875,73.62415172988096,138.4937429019,156.3223110196
132.3978432118,162.8937227001,79.10619739962277,136.138525965,158.8862150875
132.0438605997,163.4215356537,79.73442317164067,136.138525965,158.8862150875
127.3068923518,170.793168996,88.49683415920121,132.0438605997,163.4215356537
121.6216974591,177.7662425792,97.49378898651383,127.3068923518,170.793168996
115.3324110558,183.657994387,106.11166940036556,121.6216974591,177.7662425792
109.3171118845,189.3736872351,114.409438308576,115.3324110558,183.657994387
111.2154835055,189.8551388387,113.5516755703667,115.3324110558,183.657994387
124.8429531075,174.2932606493,92.77721243466965,127.3068923518,170.793168996
124.7513976262,174.6746104767,93.14399902185329,127.3068923518,170.793168996
126.1835966918,172.1347712755,90.24660266278516,127.3068923518,170.793168996
119.5751364829,178.346544203,99.3162150710106,126.1835966918,172.1347712755
123.0673996952,177.4320782712,96.3739157475626,127.3068923518,170.793168996
117.8039810216,184.9014914755,105.51151443376963,123.0673996952,177.4320782712
118.904415521,184.9623456709,104.97829627992077,123.0673996952,177.4320782712
113.2836867802,192.7552110345,114.58669584243127,118.904415521,184.9623456709
109.869571691,198.0821965551,120.91385607265977,113.2836867802,192.7552110345
110.7325632912,195.4300125428,118.28301754987659,113.2836867802,192.7552110345
106.4693706319,200.5634869381,124.95590081106961,110.7325632912,195.4300125428
109.6604063209,197.6026930377,120.63865776052799,113.2836867802,192.7552110345
117.033585115,184.823390227,105.91532082313644,123.0673996952,177.4320782712
118.7735841659,184.6249667661,104.75093769451502,123.0673996952,177.4320782712
117.7556514021,185.4519648682,105.99333625807108,123.0673996952,177.4320782712
111.7482142622,191.4940364999,114.5136608171735,117.7556514021,185.4519648682
107.2773819195,196.8530944986,121.49276136595216,111.7482142622,191.4940364999
103.820574445,198.9518161531,125.5367878864916,107.2773819195,196.8530944986
102.0694196972,201.445187438,128.43611704408008,107.2773819195,196.8530944986
103.8349192156,200.8295986731,126.7523369113321,107.2773819195,196.8530944986
102.4947439214,200.3104242314,127.39418111904318,107.2773819195,196.8530944986
103.4308875184,200.5707367027,126.84218962843023,107.2773819195,196.8530944986
113.1930971271,191.3452322551,113.44635591494975,117.7556514021,185.4519648682
109.1801638917,195.1835785296,118.99942130937343,113.1930971271,191.3452322551
108.9776453167,196.4512411234,120.06763679775202,113.1930971271,191.3452322551
127.2120557445,171.4920133485,89.14074808528247,132.0438605997,163.4215356537
123.5094761451,178.9401083341,97.45839286036231,127.2120557445,171.4920133485
130.08696762,165.4372341746,82.5425153400108,136.138525965,158.8862150875
132.7634092413,162.367048159,78.47261661788909,136.138525965,158.8862150875
135.5648250771,159.6910571045,74.61253595734813,136.138525965,158.8862150875
134.3947596713,162.5034807364,77.55945227041927,138.4937429019,156.3223110196
131.3423535832,167.9183619481,83.77540927344715,134.3947596713,162.5034807364
131.8429217581,167.5064893844,83.17567629259,134.3947596713,162.5034807364
128.7422737056,169.5946255548,86.62780010384274,134.3947596713,162.5034807364
125.1332239784,176.5417627724,94.45646253452436,128.7422737056,169.5946255548
132.2329336566,168.3078585916,83.75334393913367,134.3947596713,162.5034807364
148.4456518583,145.1733297475,55.18758792363495,151.7484478112,141.0779448324
142.2762992119,152.8126232767,65.00694216416014,148.4456518583,145.1733297475
144.510936299,149.9933817284,61.409716790122346,148.4456518583,145.1733297475
148.6048307452,145.8022460284,55.60097198834782,151.7484478112,141.0779448324
147.5899805488,147.0778189309,57.23100485633711,148.6048307452,145.8022460284
143.7516677461,153.6082094924,64.79261257624812,148.6048307452,145.8022460284
141.8012514639,157.2536814563,68.92705201992749,143.7516677461,153.6082094924
141.4010006109,156.4083086875,68.4485928118223,143.7516677461,153.6082094924
140.2812340702,158.5512158165,70.8322501000498,143.7516677461,153.6082094924
136.3327958721,166.4132800526,79.63010314819613,140.2812340702,158.5512158165
135.0613826524,166.9488943375,80.7200129089957,140.2812340702,158.5512158165
134.0255520307,169.9412250076,83.8865548582003,135.0613826524,166.9488943375
127.6575888107,173.6474939152,90.70437065262433,135.0613826524,166.9488943375
132.9000597068,170.3256683058,84.7292421750973,135.0613826524,166.9488943375
127.5238464803,175.6717415488,92.31107360136323,132.9000597068,170.3256683058
121.0608434926,182.7207783341,101.87451059961506,127.5238464803,175.6717415488
