coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
180,80,0,,
182.5862452867,94.7753624428,14.999999999969427,180,80
185.9154348691,109.2950352022,29.896455964917028,182.5862452867,94.7753624428
190.1439352475,120.8261556497,42.178432769360256,185.9154348691,109.2950352022
191.5708740202,124.8275264169,46.4266232403299,190.1439352475,120.8261556497
194.6169439388,132.8107546713,54.97123998485686,191.5708740202,124.8275264169
195.6914100061,135.2445804261,57.62902615406615,191.5708740202,124.8275264169
195.9076866502,136.1094915705,58.513421059221905,191.5708740202,124.8275264169
187.6203493106,115.2894081583,36.12856960233238,185.9154348691,109.2950352022
190.0451513327,124.6817507888,45.828866759383175,187.6203493106,115.2894081583
193.228971398,136.0775533663,57.66106970699875,190.0451513327,124.6817507888
196.766929929,148.9551287421,71.01581036814548,193.228971398,136.0775533663
199.8825076721,162.6966897487,85.10613767347839,196.766929929,148.9551287421
202.2830748673,171.8532649768,94.57216074372943,199.8825076721,162.6966897487
200.3629034916,164.7165140377,87.18230488780083,199.8825076721,162.6966897487
202.5562843856,173.3962866949,96.13492311527155,200.3629034916,164.7165140377
202.3418245767,172.6588704863,95.36738928748044,199.8825076721,162.6966897487
203.9006229921,179.6252725413,102.50605933811045,202.3418245767,172.6588704863
201.1812876467,167.0629822592,89.6615015129176,199.8825076721,162.6966897487
203.3398463348,174.8990410211,97.789428218414,201.1812876467,167.0629822592
198.6207810588,161.0963480926,83.2977471587505,196.766929929,148.9551287421
201.067515729,171.6451115152,94.1265476598375,198.6207810588,161.0963480926
200.8206612104,171.3021903041,93.7379908305926,198.6207810588,161.0963480926
202.4307880416,181.0695410458,103.63716498422468,200.8206612104,171.3021903041
203.6710071729,188.4835923539,111.15423225097052,202.4307880416,181.0695410458
201.7536718307,172.3696579162,94.99828214513177,198.6207810588,161.0963480926
199.4765028819,165.3303067476,87.61731493004183,198.6207810588,161.0963480926
200.7439810548,172.2182450412,94.6208993591195,199.4765028819,165.3303067476
200.7515055512,162.7325290876,85.35783265125515,196.766929929,148.9551287421
203.8593784073,174.2098146989,97.24845747474686,200.7515055512,162.7325290876
200.0819728054,159.0594721069,81.65005994703671,196.766929929,148.9551287421
202.5546318605,166.3952588197,89.39136536010892,200.0819728054,159.0594721069
202.4404012616,164.6112873274,87.6820444484748,200.0819728054,159.0594721069
200.05026905,160.5493127302,83.06593145191073,196.766929929,148.9551287421
191.8959749154,133.6839065806,55.0193159776813,190.0451513327,124.6817507888
190.649141408,130.335137472,51.51442609869572,190.0451513327,124.6817507888
192.2151326888,137.1871104602,58.52110216520901,190.0451513327,124.6817507888
192.9028754723,140.6352527097,62.037161764966015,192.2151326888,137.1871104602
194.2279304483,150.5544052556,72.03908740590875,192.2151326888,137.1871104602
193.5840263763,145.4723941581,66.9187087219825,192.2151326888,137.1871104602
197.0337888636,156.8198059013,78.77892012349197,193.5840263763,145.4723941581
196.7833806825,156.5321999172,78.4319693985077,193.5840263763,145.4723941581
199.8629775461,168.0045547177,90.31047273482287,196.7833806825,156.5321999172
201.6607828246,181.7363396939,104.15944462633867,199.8629775461,168.0045547177
203.722493968,191.9796540055,114.60818335046463,201.6607828246,181.7363396939
203.624770212,189.5881097198,112.25311740187686,201.6607828246,181.7363396939
196.821819609,155.2058405042,77.17654878654412,193.5840263763,145.4723941581
200.3703153649,167.0767943954,89.56651926337078,196.821819609,155.2058405042
192.6075437255,135.7811330769,57.22018546935119,190.0451513327,124.6817507888
194.3605787065,147.9570277461,69.5216302072697,192.6075437255,135.7811330769
193.5176607732,142.0516291224,63.55638572637788,192.6075437255,135.7811330769
196.0579162121,149.8158710335,71.67283020333379,192.6075437255,135.7811330769
199.0111789002,163.8440345089,86.0084896230281,196.0579162121,149.8158710335
196.0367988802,149.1202396824,70.99304123527463,192.6075437255,135.7811330769
197.6226451112,157.3682519563,79.39212539599013,196.0367988802,149.1202396824
186.9468028649,114.578079806,35.27923222150627,185.9154348691,109.2950352022
188.8045043994,121.1132962665,42.06272151087883,185.9154348691,109.2950352022
189.7429941941,121.4706665471,42.65953588448603,185.9154348691,109.2950352022
192.6966946371,131.2390571051,52.86472086079106,189.7429941941,121.4706665471
