ASP_time,Astar_time,RRTStar_time
0.031246662139892578,0.007002115249633789,-10
0.10801124572753906,0.0069255828857421875,0.0016281604766845703
0.015540599822998047,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0009596347808837891
0.055816650390625,0.0,0.0
0.09435844421386719,0.007994890213012695,0.0017511844635009766
0.0,0.0,0.0
0.04904437065124512,0.02971029281616211,0.003999233245849609
0.04687356948852539,0.033334970474243164,0.002002716064453125
0.0009860992431640625,0.013006210327148438,0.0019991397857666016
0.0,0.0,0.0
0.01562356948852539,0.0,0.00011134147644042969
0.0,0.03126025199890137,0.0
0.0,0.01565861701965332,0.0
