start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(50, 50)",20,0.003449678421020508,0.004266500473022461,-10
"(0, 0)","(50, 50)",20,0.001378774642944336,0.00015854835510253906,4.744529724121094e-05
"(0, 0)","(50, 50)",20,0.00039196014404296875,0.0018970966339111328,-10
"(0, 0)","(50, 50)",20,0.00023484230041503906,0.0013859272003173828,0.0003864765167236328
"(0, 0)","(50, 50)",20,0.0002002716064453125,0.00022649765014648438,0.0001246929168701172
"(0, 0)","(50, 50)",20,0.00042939186096191406,0.0005750656127929688,0.0014369487762451172
"(0, 0)","(50, 50)",20,0.1152036190032959,0.033930301666259766,0.0024514198303222656
"(0, 0)","(50, 50)",20,0.006575584411621094,0.003485441207885742,0.0008487701416015625
"(0, 0)","(50, 50)",20,0.010524988174438477,0.007120370864868164,0.00035834312438964844
"(0, 0)","(50, 50)",20,0.004114627838134766,0.0012509822845458984,0.00032258033752441406
"(0, 0)","(50, 50)",20,0.0055654048919677734,0.0048754215240478516,0.0008769035339355469
