ASP_path_turn,Astar_path_turn,RRTStar_path_turn
4,13,0
5,3,26
0,10,7
3,7,7
0,2,10
3,0,6
8,7,12
1,7,4
5,15,17
5,15,19
1,7,12
2,1,0
5,0,0
1,8,16
2,7,11
