ASP_path_turn,Astar_path_turn,RRTStar_path_turn
0,4,1
1,6,6
1,7,10
0,13,11
1,1,7
0,4,6
5,0,1
12,1,6
12,1,9
19,10,6
33,9,22
3,1,24
28,1,28
28,3,29
18,43,0
3,0,5
3,8,8
2,4,0
13,18,24
15,25,0
12,36,61
11,1,10
10,1,16
0,0,1
24,1,22
2,4,1
26,30,0
