start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(60, 70)",20,0.004077434539794922,0.004065752029418945,0.0005562305450439453
"(0, 0)","(60, 70)",20,0.06621479988098145,0.0245821475982666,0.0013003349304199219
"(0, 0)","(60, 70)",20,0.00025010108947753906,0.0009737014770507812,0.0004050731658935547
"(0, 0)","(60, 70)",20,0.0004870891571044922,0.0010399818420410156,0.0011534690856933594
"(0, 0)","(60, 70)",20,0.00033783912658691406,0.0023407936096191406,0.0021712779998779297
"(0, 0)","(60, 70)",20,0.0007224082946777344,0.0012781620025634766,0.0006008148193359375
"(0, 0)","(60, 70)",20,0.00012183189392089844,0.0007104873657226562,0.0006616115570068359
"(0, 0)","(60, 70)",20,0.012937545776367188,0.006326198577880859,0.0030078887939453125
"(0, 0)","(60, 70)",20,0.0003342628479003906,0.0006070137023925781,0.0007767677307128906
"(0, 0)","(60, 70)",20,0.05849432945251465,0.0016560554504394531,0.0019631385803222656
"(0, 0)","(60, 70)",20,0.011800050735473633,0.0055010318756103516,-10
