ASP_path_cost,Astar_path_cost,RRTStar_path_cost
44.554938882153024,42.284271247461895,-10
78.01542550687043,75.88225099390851,92.09590312871391
14.336576361482813,15.485281374238571,25.377415996299717
21.875423396126294,23.142135623730955,28.938967793138907
13.693733402366494,14.242640687119287,40.05427496947841
68.24529511018228,21.213203435596434,22.765005481461618
60.93580336527202,42.65685424949238,48.8387939188451
34.38520654561955,14.071067811865477,16.40570380419848
61.90551421184774,54.31370849898477,61.62555195236738
67.71491341322944,68.31370849898477,73.11172652784207
45.044996889894705,40.31370849898476,48.40201520250889
65.91940783268711,2.414213562373095,2.09546957747001
112.5362307737214,2.0,2.197440547838882
47.7253152583336,46.526911934581165,61.37066126817948
38.31364741968808,39.55634918610404,44.195044325169704
