ASP_path_cost,Astar_path_cost,RRTStar_path_cost
19.985223571693652,20.65685424949238,30.194806876815587
42.70417158887244,15.142135623730955,15.97641205887234
43.66027151228531,6.414213562373095,7.734618923379037
33.496893561398245,2.0,1.5636740803962028
51.0445197111748,1.4142135623730951,0.6872837163634059
43.18883483887595,1.4142135623730951,1.9600681420637678
92.61409891289819,93.18376618407353,-10
26.323625148393948,28.313708498984766,32.58078420379872
33.46332967899942,34.89949493661167,39.08834865828894
95.30498720035466,94.07106781186548,106.4753988367491
80.93009678754967,3.0,3.3552214814648003
92.72658447219595,1.0,1.403937001925043
147.7928018181352,136.35533905932735,152.97569236683958
151.13382130058744,137.1837661840736,155.39337851335705
135.02957927599323,134.8406204335659,143.93124697367696
140.6345866504364,137.76955262170046,159.6684582952546
22.109173359561517,23.899494936611667,27.849230010524813
13.90035630211036,14.656854249492381,20.406946193481524
137.75768707124132,136.59797974644667,152.70325075953912
125.26441320226485,128.52691193458116,145.835556387153
20.49387597169434,3.414213562373095,3.7863657854480417
26.315909830865372,24.65685424949238,26.361913050374127
149.83394899781393,147.49747468305827,159.239136294762
190.75737008275183,176.63961030678945,200.55328960401565
149.22747822239597,150.5979797464467,168.08100584051618
151.08266701053043,153.0121933088197,169.31013765896958
153.2916672934503,156.66904755831217,172.24982227564263
169.83720007281528,170.35533905932743,189.32280211233174
225.48748647763566,211.3259018078046,229.8146832158396
56.34084440424784,45.14213562373095,57.87749003291601
28.485458374372783,30.798989873223338,-10
276.563164770104,228.2670273047592,256.78094842976304
271.6392525523124,240.0832611206854,276.017031342332
262.91598841398877,247.0832611206854,278.9151732336235
76.19652862716687,2.414213562373095,1.4385576538159641
2.2367694103682996,2.414213562373095,2.2367694103682996
32.414870073235356,8.071067811865476,7.893778092519253
298.4201763958225,264.982756057297,301.4289822154454
289.9684745212387,275.3969696196703,309.66270010166073
