start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(30, 40)",20,0.010822296142578125,0.005082130432128906,-10
"(0, 0)","(30, 40)",20,0.02544426918029785,0.004250288009643555,-10
"(0, 0)","(30, 40)",20,0.00975942611694336,0.0010673999786376953,0.00038909912109375
"(0, 0)","(30, 40)",20,0.00040841102600097656,0.012398242950439453,0.0011053085327148438
"(0, 0)","(30, 40)",20,0.0077626705169677734,0.022857666015625,0.0022759437561035156
"(0, 0)","(30, 40)",20,0.0020837783813476562,0.001745462417602539,0.0016295909881591797
"(0, 0)","(30, 40)",20,0.11705541610717773,0.028299570083618164,0.0012001991271972656
"(0, 0)","(30, 40)",20,0.08424949645996094,0.014933586120605469,0.0028619766235351562
"(0, 0)","(30, 40)",20,0.00026607513427734375,0.0002162456512451172,0.0002052783966064453
"(0, 0)","(30, 40)",20,0.09214282035827637,0.12535381317138672,0.0035316944122314453
"(0, 0)","(30, 40)",20,0.10300660133361816,0.11615800857543945,0.0038335323333740234
