ASP_path_turn,Astar_path_turn,RRTStar_path_turn
27,10,25
16,4,17
0,20,16
3,8,9
3,12,11
3,3,4
6,2,0
14,34,22
21,20,26
10,1,1
27,36,33
45,44,39
76,56,59
48,34,59
49,56,59
3,5,7
2,6,12
0,1,5
10,19,12
10,9,17
9,17,21
0,6,6
6,5,5
1,10,5
0,2,8
2,3,2
4,1,8
0,0,1
14,6,22
2,1,0
9,49,37
15,61,61
13,40,40
3,4,22
2,0,2
23,46,38
97,49,112
93,36,87
11,31,24
67,14,108
63,73,52
1,4,15
11,29,18
11,21,18
71,21,33
76,27,29
5,6,3
0,2,0
11,19,40
21,56,58
19,29,23
56,7,35
69,35,28
2,3,2
13,2,3
1,7,2
11,17,14
27,23,83
