start,goal,range,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(140, 100)",20,0.16758155822753906,0.05902814865112305,0.0010371208190917969
"(0, 0)","(140, 100)",20,0.00030040740966796875,0.014316082000732422,0.0016846656799316406
"(0, 0)","(140, 100)",20,0.11161971092224121,0.09766888618469238,0.0010666847229003906
"(0, 0)","(140, 100)",20,0.005655527114868164,0.0027832984924316406,0.00032639503479003906
"(0, 0)","(140, 100)",20,0.0002830028533935547,0.005624294281005859,0.0011894702911376953
"(0, 0)","(140, 100)",20,0.0017082691192626953,0.008692264556884766,0.0009129047393798828
"(0, 0)","(140, 100)",20,0.00036978721618652344,0.00040459632873535156,0.00024962425231933594
"(0, 0)","(140, 100)",20,0.03849649429321289,0.029827117919921875,0.0022983551025390625
"(0, 0)","(140, 100)",20,0.10309267044067383,0.03422045707702637,0.0011930465698242188
"(0, 0)","(140, 100)",20,0.06567049026489258,0.0032341480255126953,0.002188444137573242
"(0, 0)","(140, 100)",20,0.0009753704071044922,0.05740499496459961,0.003391742706298828
